,CATEGORIA,TEXTO
0,lluvia,"Má s   de   6 0 0   p e r s o n a s   c o n t i n ú a n   e v a c u a d a s   e n   e l   n o r t e   d e l   p a í s   t r a s   l a s intensas lluvias caí das du r a n t e  e l  ? n  d e  s e m a n a .  E n  A r g e n t i n a  s e  h a b l a  d e 15.000 evacuado s a cifra de evacuados sigue siendo muy alta  d e s p u és de las constantes precipitaciones que cayeron sobre los departamentos de Salto, Paysandú ,"
1,tormenta,Jinetes en la Tormenta
2,lluvia,"El miedo surge en la medida de que las lluvias no parecen parar, la ropa seca y los alimentos se hacen necesarios para los evacuados que han perdido todas sus pertenencias. El Sistema Nacional de Emergencia se encuentra tr a b a j a n d o  s i n parar para poder solucionar la situació n  d e  c a d a  z o n a  a f e c tada."
3,viento,"La tormenta que con diferentes niveles de intensidad afectó  a  t o d o  e l  s u r  d e l  p a ís provocó  u n  c o r t o c i r c u i t o  e n  d o s  l íneas de alta  t e n s i ón de 500 kw que transmiten energí a  d e s d e  l a  r e p r e s a  d e  P a l m a r ,  a  r a íz de la caí d a  d e  u n  r a y o ,  l o  q u e  p r o v o c ó un apagó n  d e  t o d o  e l  s u r  d e l  p a ís, afecta n d o  a  5 0 0  m i l  h o g a r e s  e n  l o s departamentos de Colonia, San José ,  C a n e l o n e s ,  Montevideo, Ma l d o n a d o  y  R o c h a"
4,tormenta,"La tormenta que con diferentes niveles de intensidad afectó  a  t o d o  e l  s u r  d e l  p a ís provocó  u n  c o r t o c i r c u i t o  e n  d o s  l íneas de alta  t e n s i ón de 500 kw que transmiten energí a  d e s d e  l a  r e p r e s a  d e  P a l m a r ,  a  r a íz de la caí d a  d e  u n  r a y o ,  l o  q u e  p r o v o c ó un apagó n  d e  t o d o  e l  s u r  d e l  p a ís, afecta n d o  a  5 0 0  m i l  h o g a r e s  e n  l o s departamentos de Colonia, San José ,  C a n e l o n e s ,  Montevideo, Ma l d o n a d o  y  R o c h a ."
5,lluvia,"SE REGISTRÓ UN TOTAL DE 1212 EVACUADOS  P OR LAS LLUVIAS, EN TOD O EL PAÍ S"
6,ola de frío,La explicació n  c i e n t í?ca del fenó m e n o  s e  d e b e  a  q u e  p o r  e l  t e r r i t o r i o  u r u g u a y o esta circulando un sistema de alta presió n  d e  trayectoria continental con vientos suaves cuyas caracterí s t i c a s  s o n  b u e n  t i e m p o  y  d e s c e n s o s  d e  l a  t e m p e r a t u r a  e n  l a noche.
7,viento,La explicació n  c i e n t í?ca del fenó m e n o  s e  d e b e  a  q u e  p o r  e l  t e r r i t o r i o  u r u g u a y o esta circulando un sistema de alta presió n  d e  trayectoria continental con vientos suaves cuyas caracterí s t i c a s  s o n  b u e n  t i e m p o  y  d e s c e n s o s  d e  l a  t e m p e r a t u r a  e n  l a noche.
8,tormenta,"E l   ú l t i m o   b o l e t í n   de   l a   D i r e c c i ó n   N a c i o n a l   d e   M e t e o r o l o g í a   i n d i c a   q u e   e l tiempo se presentó  c a l u r o s o  c o n  c i e l o  a l g o  n u b o s o  y  n u b o s o .  C o n tormentas y lluvias aislada s .  L a  s i t u a c i ón sinó p t i c a  m u e s t r a  u n  b o r d e occide n t a l  de sistema de  a l t a  p r e s i ón que cubre al paí s ,  m i e n t r a s  u n  f r e n t e f r í o   s e   a p r o x i m a   p o r   e l   S W .   T o da v í a   n o   s e   d e s c a r t a n   l a s   t o r m e n t a s   y   h a s t a se habla de  g r a n i z a das."
9,lluvia,"E l   ú l t i m o   b o l e t í n   de   l a   D i r e c c i ó n   N a c i o n a l   d e   M e t e o r o l o g í a   i n d i c a   q u e   e l tiempo se presentó  c a l u r o s o  c o n  c i e l o  a l g o  n u b o s o  y  n u b o s o .  C o n tormentas y lluvias aislada s .  L a  s i t u a c i ón sinó p t i c a  m u e s t r a  u n  b o r d e occide n t a l  de sistema de  a l t a  p r e s i ón que cubre al paí s ,  m i e n t r a s  u n  f r e n t e f r í o   s e   a p r o x i m a   p o r   e l   S W .   T o da v í a   n o   s e   d e s c a r t a n   l a s   t o r m e n t a s   y   h a s t a se habla de  g r a n i z a das."
10,viento,Vientos: Del sector Sur moderados y algo fuertes. Rachas fuertes en zonas de tormentas.
11,viento,"S e g ú n   l a   D i r e c c i ó n   N a c i o n a l   de   M e t e o r o l o g í a   c o n   l o s   f u e r t e s   v i e n t o s   d e estos días se vivirá n  s e n s a c i o n e s  t érmicas de hasta 10º  b a j o  c e r o .  S i  b i e n en el invierno, se habí a n  r e g s i t r a d o  t e m p e r a t u r a s  b a j o  c e r o ,  n u n c a  h a b ían llegado  a c o m p a ñada s  de vientos tan fuertes."
12,tormenta,"El Servicio Nacional de  Meteorologí a  e m i t i ó una advertencia meteoroló g i c a para las pró x i m a s  h o r a s  c a r g a da de tormentas de fuerte intensidad, precipitaciones abunda n t e s  c o n  p r o b a b l e s  g r a n i z a d a s  y  r a c h a s  m u y  f u e r t e s de   v i e n t o   a s o c i a do s   a   l a s   t o r m e n t a s ."
13,viento,"e estima que en la madrugada, la velocidad de los vientos se incrementará pudiendo alcanzar cifras superiores a los 100 km/h."
