,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,viento,, ADVERTENCIA METEOROLÓGICA DE - 10 GRADOS,"S e g ú n   l a   D i r e c c i ó n   N a c i o n a l   de   M e t e o r o l o g í a   c o n   l o s   f u e r t e s   v i e n t o s   d e estos días se vivirá n  s e n s a c i o n e s  t érmicas de hasta 10º  b a j o  c e r o .  S i  b i e n en el invierno, se habí a n  r e g s i t r a d o  t e m p e r a t u r a s  b a j o  c e r o ,  n u n c a  h a b ían llegado  a c o m p a ñada s  de vientos tan fuertes.",Admin,6/9/2020,153,"13,10%",,DOCUMENT
,eventos meteorológicos,tormenta,, ADVERTENCIA METEOROLÓGICA,"El Servicio Nacional de  Meteorologí a  e m i t i ó una advertencia meteoroló g i c a para las pró x i m a s  h o r a s  c a r g a da de tormentas de fuerte intensidad, precipitaciones abunda n t e s  c o n  p r o b a b l e s  g r a n i z a d a s  y  r a c h a s  m u y  f u e r t e s de   v i e n t o   a s o c i a do s   a   l a s   t o r m e n t a s .",Admin,6/9/2020,116,"17,40%",,DOCUMENT
,eventos meteorológicos,viento,, ADVERTENCIA METEOROLÓGICA,"e estima que en la madrugada, la velocidad de los vientos se incrementará pudiendo alcanzar cifras superiores a los 100 km/h.",Admin,6/9/2020,22,"3,30%",,DOCUMENT
,eventos meteorológicos,lluvia,, ADVERTENCIA METEOROLÓGICA,"Por ahora, la zona má s  a f e c t a d a  e s  e l  n o r t e  d e l  p a ís, especí ? c a m e n t e  e l departamento de Paysandú  d o n d e  2 7  p e r s o n a s  tuvieron que ser evacuadas debido, a que el sistema de alcantarillado no pudo absorver el total de las lluvias c a í d a s .",Admin,6/9/2020,82,"12,30%",,DOCUMENT
,efectos,árboles caídos,, DAÑOS EN TODO EL PAÍS Y MÁS ADVERTENCIAS METEOROLÓGICAS,"Era de  p r e v e r s e  t a l  desastre. Es que los vientos alcanzaron velocidades superiores a los 100 km / h .  V o l a d u r a s  d e  t e c h o s ,  c a ídas de á r b o l e s ,  d e cables de  a l t a  t e n s i ón y de  a n t e n a s  f u e r o n ,  e n t r e  o t r o s ,  l o s  r e s u l t a d o s  d e do s   dí a s   de   u n   t e m i b l e   t e m p o r a l .   Y   p a r a   q u i e n   c r e í a   q u e   l a   t o r m e n t a   p a s ó , que no esté  t a n  s e g u r o . . .",Admin,6/9/2020,175,"14,40%",,DOCUMENT
,efectos,voladura de techos,, DAÑOS EN TODO EL PAÍS Y MÁS ADVERTENCIAS METEOROLÓGICAS,"Era de  p r e v e r s e  t a l  desastre. Es que los vientos alcanzaron velocidades superiores a los 100 km / h .  V o l a d u r a s  d e  t e c h o s ,  c a ídas de á r b o l e s ,  d e cables de  a l t a  t e n s i ón y de  a n t e n a s  f u e r o n ,  e n t r e  o t r o s ,  l o s  r e s u l t a d o s  d e do s   dí a s   de   u n   t e m i b l e   t e m p o r a l .   Y   p a r a   q u i e n   c r e í a   q u e   l a   t o r m e n t a   p a s ó , que no esté  t a n  s e g u r o . . .",Admin,6/9/2020,175,"14,40%",,DOCUMENT
,eventos meteorológicos,viento,, DAÑOS EN TODO EL PAÍS Y MÁS ADVERTENCIAS METEOROLÓGICAS,"Era de  p r e v e r s e  t a l  desastre. Es que los vientos alcanzaron velocidades superiores a los 100 km / h .  V o l a d u r a s  d e  t e c h o s ,  c a ídas de á r b o l e s ,  d e cables de  a l t a  t e n s i ón y de  a n t e n a s  f u e r o n ,  e n t r e  o t r o s ,  l o s  r e s u l t a d o s  d e do s   dí a s   de   u n   t e m i b l e   t e m p o r a l .   Y   p a r a   q u i e n   c r e í a   q u e   l a   t o r m e n t a   p a s ó , que no esté  t a n  s e g u r o . . .",Admin,6/9/2020,175,"14,40%",,DOCUMENT
,efectos,evacuados,, DAÑOS EN TODO EL PAÍS Y MÁS ADVERTENCIAS METEOROLÓGICAS,"En Argentina, el temporal tambié n  s e  h i z o  p r e s e n t e .  A l  m e n o s  1 3  m u e r t o s , centenares de evacuados e importantes dañ o s  m a t e r i a l e s  o c a s i o n ó hasta ahora un temporal que está  c a s t i g a n d o  d e s d e  h a c e  d o s  n o c h e s  e l  c e n t r o  d e l  v e c i n o  p a ís con r á f a g a s   d e   vi e n t o   q u e   e n   a l g u n a s   z o n a s   tu v i e r o n   c a r á c t e r   d e   t o r n a d o .",Admin,6/9/2020,172,"14,20%",,DOCUMENT
,eventos meteorológicos,lluvia,, FRENTE FRÍO A LA VISTA,Un frente frí o  q u e  i n g r e s a  desde  h o y  a l  s u r  d e  U r u g u a y  p r o v o c a r á lluvias y tormentas.,Admin,6/9/2020,44,"7,00%",,DOCUMENT
,eventos meteorológicos,tormenta,, FRENTE FRÍO A LA VISTA,Un frente frí o  q u e  i n g r e s a  desde  h o y  a l  s u r  d e  U r u g u a y  p r o v o c a r á lluvias y tormentas.,Admin,6/9/2020,44,"7,00%",,DOCUMENT
