,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,lluvia,, 12 al 18 de enero de 2004,Esta semana el tiempo se pr esentar á cálido con temper atur as máximas que super ar án los 25ºC per o que no alcanzar án los 30ºC. El cielo se pr esentar á soleado y par cialmente nublado. No se r egistr ar án lluvias dur ante la semana.,Admin,26/6/2020,50,"8,60%",,DOCUMENT
,eventos meteorológicos,tormenta,, 12 al 18 de enero de 2004,Inumet advierte por ingr eso de fr ente frío y tormentas entr e miér coles y jue ves 3,Admin,26/6/2020,19,"3,30%",,DOCUMENT
,eventos meteorológicos,lluvia,, 5 al 12 de enero de 2004,"El tiempo esta semana se pr esentar a cálido con temper atur as máximas con r ondar án los 30ºC par a sur y norte del país. Las mínimas super ar án los 17ºC. La nubosidad ser á variable, al igual que el r égimen de pr ecipitaciones esper ado par a el país. En el norte, las lluvias comenzar án el día miér coles y continuar án hasta el viernes, mientr as que en el sur las lluvias llegar án el día jue ves. El sábado mejor ar á par cialmente. El total de pr ecipitaciones par a esta semana oscilar á entr e 20 mm y 35 mm en el sur y entr e",Admin,26/6/2020,116,"17,90%",,DOCUMENT
,eventos meteorológicos,tormenta,, 5 al 12 de enero de 2004,Inumet advierte por ingr eso de fr ente frío y tormentas entr e miér coles y jue ves 3,Admin,26/6/2020,19,"2,90%",,DOCUMENT
,eventos meteorológicos,lluvia,, del 10 al 16 de mayo de 2004,"T el: 4001684 - 4028056 / Monte video - Uruguay   Las temper atur as máximas pr omedio par a la semana ser án de 17,6 ºC, mientr as que las mínimas oscilar án en el eje de los 5,4 ºC, no descartándose la posibilidad de e ventuales heladas en algunas zonas del país. Las lluvias comenzar án el día miér coles en el sur del país per o ser án de escasa magnitud. Las mismas arribar án el días jue ves al centr o del territorio y el viernes cubrir án el norte. Se esper an r egistr os importantes del or den de los 35 mm y de hasta 45 mm en algunas r egiones.",Admin,26/6/2020,115,"15,60%",,DOCUMENT
,eventos meteorológicos,lluvia,, del 12 al 18 de abril de 2004,Se aguar dan lluvias de entidad par a el día sábado que super ar án en algunas zonas los 25 mm. Cubrir án todo el país y se esper a que los mayor es r egistr en se den nue vamente en el litor al oeste.,Admin,26/6/2020,46,"6,30%",,DOCUMENT
,eventos meteorológicos,lluvia,, del 15 al 21 de marzo de 2004,Negr o. Los cielos se pr esentar án soleados y par cialmente nublados. No se pr onostican lluvias en todo el territorio nacional par a esta semana ni tampoco hasta mediados de la sigueinte.,Admin,26/6/2020,34,"5,50%",,DOCUMENT
,eventos meteorológicos,lluvia,, del 16 al 22 de febrero de 2004,"El tiempo esta semana se pr esentar á más templado que la semana anterior con temper atur as que no super ar án los 28ºC. El cielo se pr esentar á par cialmente nublado dur ante toda la semana, per o no se r egistr ar án pr ecipitaciones de inter és agr onómico, apenas chaparr ones coster os. En primer a instancia tampoco se r egistarían lluvias significativas la semana pr ó xima.",Admin,26/6/2020,74,"11,60%",,DOCUMENT
,eventos meteorológicos,lluvia,, del 17 al 23 de mayo de 2004,T el: 4001684 - 4028056 / Monte video - Uruguay   No se r egistr ar án pr ecipitaciones de inter és agr onómico esta semana. Se esper an importantes lluvias  entr e 35 mm y 45 mm  par a la pr ó xima semana en todo el territorio uruguayo.,Admin,26/6/2020,46,"6,60%",,DOCUMENT
,eventos meteorológicos,lluvia,, del 19 al 25 de abril del 2004,"El tiempo esta semana ser á templado , con temper atur as que aumentar án conforme la semana avance. Las máximas ser án de 22 ºC par a el sur y 25 °C par a el norte. Las lluvias ingr esar án al territorio nacional por el norte el día jue ves y se desplazar án hacia el sur abar cando la totalidad de la superficie el día viernes. Los r egistr os acumulados ser án de entr e 10 mm y 25 mm.",Admin,26/6/2020,83,"8,70%",,DOCUMENT
