,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,lluvia,, 11 AL 17 DE OCTUBRE DE 2004,Las ansiadas lluvias estarían llegando mañana martes y cubrirían todo el país. Los r egistr os oscilar án entr e 35 mm y 50 mm. Las pr ecipitaciones ser án más intensas en el Centr o del país.,Admin,2/7/2020,38,"6,20%",,DOCUMENT
,eventos meteorológicos,lluvia,, 15 AL 21 DE NOVIEMBRE DE 2004,"Las lluvias vuelven al centr o y sur del país mañanna martes y no super ar án los 20 mm, per o no se descartan pequeños r egistr os en el r esto del territorio uruguayo. T r as despejar el miér coles, las lluvias volverían el martes de la semana pr ó xima.  Los r egistr os térmicos pr omedio par a todo el país que oscilar án entr e 15 ºC y 20 ºC.",Admin,2/7/2020,76,"10,30%",,DOCUMENT
,eventos meteorológicos,lluvia,, 1º AL 7 DE NOVIEMBRE DE 2004,"Se pr e vén lluvias muy importante en todo el país, per o especialmente en la r egión Norte del mismo en donde los r egistr os pueden ser de hasta 150 mm.",Admin,2/7/2020,33,"4,40%",,DOCUMENT
,eventos meteorológicos,lluvia,, 22 AL 28 DE NOVIEMBRE DE 2004,"V uelven las lluvias al país, per o ser án br e ves. Éstas entr ar án al país por el Oeste, mañana martes de noche. Las mismas ser án de entidad y alcanzar án los 50 mm en algunas zonas del litor al sur. Par a el fin de semana se esper an cielos despejados. Par a la semana pr ó xima no se pr onostican lluvias.  Los r egistr os térmicos ser án más cálidos esta semana tomando en consider ación la anterior. En pr omedio par a todo el país los r egistr os térmicos oscilar án entr e 20 ºC y 25ºC.",Admin,2/7/2020,106,"16,00%",,DOCUMENT
,eventos meteorológicos,lluvia,, 25 AL 31 DE OCTUBRE DE 2004,Se pr e vén lluvias al sur del territorio dur ante el tr anscurso de la semana. Las mismas oscilar án entr e 10 y 20 mm y ser án de menor entidad en el centr o del país.,Admin,2/7/2020,39,"5,50%",,DOCUMENT
,eventos meteorológicos,lluvia,, 27 DE SETIEMBRE AL 3 DE OCTUBRE DE 2004,"Par a la semana entr ante tampoco se estarían r egistr ando lluvias, en tanto que las temper atur as ser án un poco mayor es en todo el país y oscilar án entr e 15 ºC y 20 ºC.",Admin,2/7/2020,40,"6,40%",,DOCUMENT
,eventos meteorológicos,lluvia,, 29 DE NOVIEMBRE AL 5 DE DICIEMBRE DE 2004,"Los r egistr os pluviométrticos de esta semana ingr esar án por el sudoeste el día sábado, e xtendiéndose al centr o del país en el corr er del día. Las lluvias no serían muy abundantes.",Admin,2/7/2020,36,"5,70%",,DOCUMENT
,eventos meteorológicos,lluvia,, 4 AL 10 DE OCTUBRE DE 2004,"Ex cepción hecha de algunos chaparr ones que se esper an par a la noche del viernes y que no cubrir án todo el país, las lluvias no arribarían a Uruguay hasta la semana pr ó xima, en la que se esper an pr ecipitaciones que oscilar án entr e los 35 y 50 mm. Las temper atur as pr omedio esta semana oscilar án entr e 15 ºC y 20 ºC. La semana pr ó xima, las mismas ser án un poco inferior es y variar án entr e 10 ºC Y 20 ºC.",Admin,2/7/2020,95,"15,00%",,DOCUMENT
,eventos meteorológicos,lluvia,, 6 AL 12 DE DICIEMBRE DE 2004,"Esta semana volver án a caer lluvias de entidad. Las mismas entr ar án el martes de noche por el litor al oeste y cubrir án todo el territorio hasta el jue ves inclusive, aunque el viernes pueden r egistr arse algunas pr ecipitaciones aisladas. Se pueden esper ar r egistr os arriba de 50 mm en varias localidades del país. Las lluvias continuar án la semana pr ó xima y según los informes climáticos también ser án de entidad. El miér coles se esper a un tempor al con vientos fuertes del sur y sur este.",Admin,2/7/2020,97,"13,30%",,DOCUMENT
,eventos meteorológicos,lluvia,, 8 AL 14 DE NOVIEMBRE DE 2004,"Esta semana continuar án las lluvias en todo el territorio, a pesar de que las mismas ser án de menor entidad que la semana anterior.",Admin,2/7/2020,25,"3,30%",,DOCUMENT
