,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,respuestas,ayuda damnificados,, 100.000 DÓLARES PARA ROCHA POR INUNDACIONES_19151,Recibilas diariamente en tu email 100.000 DÓLARES PARA ROCHA POR INUNDACIONES,Admin,25/6/2020,12,"17,6%",,DOCUMENT
,efectos,inundación,, 100.000 DÓLARES PARA ROCHA POR INUNDACIONES_19151,Recibilas diariamente en tu email 100.000 DÓLARES PARA ROCHA POR INUNDACIONES,Admin,25/6/2020,12,"17,6%",,DOCUMENT
,Actores,SINAE,, AUTORIDADES PREOCUPADAS POR EVACUADOS,AUTORIDADES PREOCUPADAS POR EVACUAD,Admin,25/6/2020,4,"6,7%",,DOCUMENT
,respuestas,ayuda damnificados,, AUTORIDADES PREOCUPADAS POR EVACUADOS,AUTORIDADES PREOCUPADAS POR EVACUADO,Admin,25/6/2020,4,"6,7%",,DOCUMENT
,efectos,evacuados,, AUTORIDADES PREOCUPADAS POR EVACUADOS,AUTORIDADES PREOCUPADAS POR EVACUADOS,Admin,25/6/2020,4,"6,7%",,DOCUMENT
,efectos,inundación,, AUTORIDADES PREOCUPADAS POR EVACUADOS,AUTORIDADES PREOCUPADAS POR EVACUADOS,Admin,25/6/2020,4,"6,7%",,DOCUMENT
,eventos meteorológicos,lluvia,, DESPUÉS DE LAS LLUVIAS DEL DOMINGO_18583,DESPUÉS DE LAS LLUVIAS DEL DOMINGO,Admin,25/6/2020,6,"8,5%",,DOCUMENT
,efectos,inundación,, DOS CASOS FATALES POR LLUVIAS_18782,DOS CASOS FATALES POR LLUVIAS,Admin,25/6/2020,5,"7,7%",,DOCUMENT
,eventos meteorológicos,lluvia,, DOS CASOS FATALES POR LLUVIAS_18782,DOS CASOS FATALES POR LLUVIAS,Admin,25/6/2020,5,"7,7%",,DOCUMENT
,eventos meteorológicos,tormenta,, FUERTES TORMENTAS AZOTARÁN AL PAÍS_18701,FUERTES TORMENTAS AZOTARÁN AL PAÍS,Admin,25/6/2020,5,"7,8%",,DOCUMENT
,efectos,evacuados,, INUNDACIONES Y EVACUADOS_17248,INUNDACIONES Y EVACUADOS,Admin,25/6/2020,3,"4,9%",,DOCUMENT
,efectos,inundación,, INUNDACIONES Y EVACUADOS_17248,INUNDACIONES Y EVACUADOS,Admin,25/6/2020,3,"4,9%",,DOCUMENT
,efectos,evacuados,, INUNDACIONES Y EVACUADOS_17248,INUNDACIONES Y EVACUADO,Admin,25/6/2020,3,"4,9%",,DOCUMENT
,efectos,inundación,, INUNDACIONES Y EVACUADOS_17248,INUNDACIONES Y EVACUADOS,Admin,25/6/2020,3,"4,9%",,DOCUMENT
,eventos meteorológicos,lluvia,, INUNDACIONES Y EVACUADOS_17248,INUNDACIONES Y EVACUADOS,Admin,25/6/2020,3,"4,9%",,DOCUMENT
,eventos meteorológicos,lluvia,, LLUVIAS HASTA EL VIERNES,LLUVIAS HASTA EL VIERNES,Admin,25/6/2020,4,"6,5%",,DOCUMENT
,eventos meteorológicos,lluvia,, LLUVIAS HASTA EL VIERNES_19027,LLUVIAS HASTA EL VIERNES,Admin,25/6/2020,4,"6,5%",,DOCUMENT
,efectos,inundación,," MÁS DE 600 EVACUADOS, PODRÍA HABER MÁS_18792","MÁS DE 600 EVACUADOS, PODRÍA HABER MÁ",Admin,25/6/2020,7,"10,1%",,DOCUMENT
,eventos meteorológicos,lluvia,," MÁS DE 600 EVACUADOS, PODRÍA HABER MÁS_18792","MÁS DE 600 EVACUADOS, PODRÍA HABER MÁS",Admin,25/6/2020,7,"10,1%",,DOCUMENT
,efectos,evacuados,," MÁS DE 600 EVACUADOS, PODRÍA HABER MÁS_18792","MÁS DE 600 EVACUADOS, PODRÍA HABER MÁS",Admin,25/6/2020,7,"10,1%",,DOCUMENT
,Actores,Organizaciones,, UTE EXONERARÁ DEL PAGO DE TARIFAS A LOS EVACUADOS_19098,UTE EXONERARÁ DEL PAGO DE TARIFAS A LOS EVACUADO,Admin,25/6/2020,9,"12,3%",,DOCUMENT
,respuestas,ayuda damnificados,, UTE EXONERARÁ DEL PAGO DE TARIFAS A LOS EVACUADOS_19098,UTE EXONERARÁ DEL PAGO DE TARIFAS A LOS EVACUADOS,Admin,25/6/2020,9,"12,3%",,DOCUMENT
,efectos,evacuados,, UTE EXONERARÁ DEL PAGO DE TARIFAS A LOS EVACUADOS_19098,UTE EXONERARÁ DEL PAGO DE TARIFAS A LOS EVACUADOS,Admin,25/6/2020,9,"12,3%",,DOCUMENT
,efectos,inundación,, VARIOS EVACUADOS_18233,VARIOS EVACUADOS,Admin,25/6/2020,2,"3,4%",,DOCUMENT
,efectos,evacuados,, VARIOS EVACUADOS_18233,VARIOS EVACUADOS,Admin,25/6/2020,2,"3,4%",,DOCUMENT
,efectos,inundación,, YA SON MÁS DE 1100 EVACUADOS EN TODO EL PAIS_18843,YA SON MÁS DE 1100 EVACUADOS EN TODO EL PAI,Admin,25/6/2020,10,"13,3%",,DOCUMENT
,efectos,evacuados,, YA SON MÁS DE 1100 EVACUADOS EN TODO EL PAIS_18843,YA SON MÁS DE 1100 EVACUADOS EN TODO EL PAIS,Admin,25/6/2020,10,"13,3%",,DOCUMENT
,eventos meteorológicos,lluvia,, YA SON MÁS DE 1100 EVACUADOS EN TODO EL PAIS_18843,YA SON MÁS DE 1100 EVACUADOS EN TODO EL PAIS,Admin,25/6/2020,10,"13,3%",,DOCUMENT
