,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,tormenta,, CONTINÚAN LAS TORMENTAS,?CONTINÚAN LAS TORMENTAS,Admin,14/6/2020,3,"1,1%",,DOCUMENT
,efectos,inundación,, EL YÍ DETUVO SU CRECIDA_42944,?EL YÍ DETUVO SU CRECIDA,Admin,14/6/2020,5,"1,8%",,DOCUMENT
,eventos meteorológicos,lluvia,, FRÍO Y LLUVIAS_52175,?FRÍO Y LLUVIAS,Admin,14/6/2020,3,"1,0%",,DOCUMENT
,eventos meteorológicos,ola de frío,, FRÍO Y LLUVIAS_52175,?FRÍO Y LLUVIAS,Admin,14/6/2020,3,"1,0%",,DOCUMENT
,eventos meteorológicos,lluvia,, LLUVIAS PARA LOS PRÓXIMOS DÍAS_52070,?LLUVIAS PARA LOS PRÓXIMOS DÍAS,Admin,14/6/2020,5,"1,6%",,DOCUMENT
,eventos meteorológicos,ola de calor,, LLUVIAS Y CALOR ESTA SEMANA_50235,?LLUVIAS Y CALOR ESTA SEMAN,Admin,14/6/2020,5,"1,6%",,DOCUMENT
,eventos meteorológicos,lluvia,, LLUVIAS Y CALOR ESTA SEMANA_50235,?LLUVIAS Y CALOR ESTA SEMANA,Admin,14/6/2020,5,"1,6%",,DOCUMENT
,eventos meteorológicos,lluvia,, LLUVIAS Y CALOR ESTA SEMANA_50235,?LLUVIAS Y CALOR ESTA SEMANA,Admin,14/6/2020,5,"1,6%",,DOCUMENT
,eventos meteorológicos,tormenta,, LLUVIAS Y TORMENTAS PARA HOY_53873,?LLUVIAS Y TORMENTAS PARA HOY,Admin,14/6/2020,5,"1,5%",,DOCUMENT
,eventos meteorológicos,lluvia,, LLUVIAS Y TORMENTAS PARA HOY_53873,?LLUVIAS Y TORMENTAS PARA HOY,Admin,14/6/2020,5,"1,5%",,DOCUMENT
,eventos meteorológicos,lluvia,," LLUVIAS, TORMENTAS Y GRANIZADAS_51644","?LLUVIAS, TORMENTAS Y GRANIZADAS",Admin,14/6/2020,4,"1,3%",,DOCUMENT
,eventos meteorológicos,tormenta,," LLUVIAS, TORMENTAS Y GRANIZADAS_51644","?LLUVIAS, TORMENTAS Y GRANIZADAS",Admin,14/6/2020,4,"1,3%",,DOCUMENT
,eventos meteorológicos,lluvia,, MÁS LLUVIAS PARA LOS PRÓXIMOS DÍAS,?MÁS LLUVIAS PARA LOS PRÓXIMOS DÍAS,Admin,14/6/2020,6,"1,9%",,DOCUMENT
,eventos meteorológicos,tormenta,, METEOROLOGÍA ANUNCIA TORMENTAS_49594,?METEOROLOGÍA ANUNCIA TORMENTAS,Admin,14/6/2020,3,"1,1%",,DOCUMENT
,eventos meteorológicos,ola de frío,, PRONÓSTICO CON LLUVIAS Y FRÍO_52387,?PRONÓSTICO CON LLUVIAS Y FRÍO,Admin,14/6/2020,5,"1,5%",,DOCUMENT
,eventos meteorológicos,lluvia,, PRONÓSTICO CON LLUVIAS Y FRÍO_52387,?PRONÓSTICO CON LLUVIAS Y FRÍO,Admin,14/6/2020,5,"1,5%",,DOCUMENT
,eventos meteorológicos,lluvia,, SE ANUNCIAN LLUVIAS PARA ESTA SEMANA_53524,?SE ANUNCIAN LLUVIAS PARA ESTA SEMANA,Admin,14/6/2020,6,"1,5%",,DOCUMENT
,eventos meteorológicos,lluvia,, SE ANUNCIAN NUEVAS LLUVIAS_50750,?SE ANUNCIAN NUEVAS LLUVIAS,Admin,14/6/2020,4,"1,3%",,DOCUMENT
,eventos meteorológicos,lluvia,, SEMANA DE LLUVIAS_49281,?SEMANA DE LLUVIAS,Admin,14/6/2020,3,"1,0%",,DOCUMENT
,respuestas,ayuda damnificados,," Solidario gesto de la ciudadanía con damnificados por las inundaciones - Noticias Uruguay, LARED21 Diario Digital",Solidario gesto de la ciudadanía con damnificados por las inundaciones .,Admin,14/6/2020,10,"52,6%",,DOCUMENT
,efectos,evacuados,," Solidario gesto de la ciudadanía con damnificados por las inundaciones - Noticias Uruguay, LARED21 Diario Digital",Solidario gesto de la ciudadanía con damnificados por las inundaciones ..,Admin,14/6/2020,10,"52,6%",,DOCUMENT
,efectos,inundación,," Solidario gesto de la ciudadanía con damnificados por las inundaciones - Noticias Uruguay, LARED21 Diario Digital",Solidario gesto de la ciudadanía con damnificados por las inundaciones ...,Admin,14/6/2020,10,"52,6%",,DOCUMENT
,eventos meteorológicos,lluvia,," Solidario gesto de la ciudadanía con damnificados por las inundaciones - Noticias Uruguay, LARED21 Diario Digital",Solidario gesto de la ciudadanía con damnificados por las inundaciones ...,Admin,14/6/2020,10,"52,6%",,DOCUMENT
,eventos meteorológicos,tormenta,, TORMENTA Y GRANIZO EN MONTEVIDEO_49005,?TORMENTA Y GRANIZO EN MONTEVIDEO,Admin,14/6/2020,5,"1,7%",,DOCUMENT
,eventos meteorológicos,tormenta,, TORMENTAS PARA ESTA NOCHE_51478,?TORMENTAS PARA ESTA NOCHE,Admin,14/6/2020,4,"1,4%",,DOCUMENT
,eventos meteorológicos,tormenta,, TORMENTAS PARA ESTE VIERNES_52940,?TORMENTAS PARA ESTE VIERNES,Admin,14/6/2020,4,"1,1%",,DOCUMENT
