,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,ola de frío,, Advertencia de lluvias y frío para el 27 y 28 de agosto_67509,?Advertencia de lluvias y frío para el 27 y 28 de agosto,Admin,6/6/2020,12,"2,80%",,DOCUMENT
,eventos meteorológicos,lluvia,, Advertencia de lluvias y frío para el 27 y 28 de agosto_67509,?Advertencia de lluvias y frío para el 27 y 28 de agosto,Admin,6/6/2020,12,"2,80%",,DOCUMENT
,eventos meteorológicos,tormenta,, Advierten sobre tormentas intensas_73931,?Advierten sobre tormentas intensas,Admin,6/6/2020,4,"1,00%",,DOCUMENT
,eventos meteorológicos,lluvia,, Calor y probables lluvias_71821,?Calor y probables lluvias,Admin,6/6/2020,4,"1,20%",,DOCUMENT
,eventos meteorológicos,ola de calor,, Calor y probables lluvias_71821,?Calor y probables lluvias,Admin,6/6/2020,4,"1,20%",,DOCUMENT
,efectos,destrozos,, DESTROZOS POR TEMPORAL Y ALERTA_65668,?DESTROZOS POR TEMPORAL Y ALERT,Admin,6/6/2020,5,"1,20%",,DOCUMENT
,eventos meteorológicos,lluvia,, DESTROZOS POR TEMPORAL Y ALERTA_65668,?DESTROZOS POR TEMPORAL Y ALERTA,Admin,6/6/2020,5,"1,20%",,DOCUMENT
,eventos meteorológicos,viento,, DESTROZOS POR TEMPORAL Y ALERTA_65668,?DESTROZOS POR TEMPORAL Y ALERTA,Admin,6/6/2020,5,"1,20%",,DOCUMENT
,eventos meteorológicos,tormenta,, Pronostican tormentas para la semana_71615,?Pronostican tormentas para la semana,Admin,6/6/2020,5,"1,50%",,DOCUMENT
,eventos meteorológicos,ola de frío,, Pronóstico con frío y lluvias_67276,?Pronóstico con frío y lluvias,Admin,6/6/2020,5,"1,60%",,DOCUMENT
,eventos meteorológicos,lluvia,, Pronóstico con frío y lluvias_67276,?Pronóstico con frío y lluvias,Admin,6/6/2020,5,"1,60%",,DOCUMENT
,eventos meteorológicos,tormenta,, Tormentas fuertes en el sureste_67840,?Tormentas fuertes en el sureste,Admin,6/6/2020,5,"1,50%",,DOCUMENT
