,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,Actores,SINAE,, Comité Nacional de Emergencia teme por inundaciones_76936,?Comité Nacional de Emergencia teme por inundacione,Admin,1/6/2020,7,"1,70%",,DOCUMENT
,efectos,inundación,, Comité Nacional de Emergencia teme por inundaciones_76936,?Comité Nacional de Emergencia teme por inundaciones,Admin,1/6/2020,7,"1,70%",,DOCUMENT
,eventos meteorológicos,lluvia,, Comité Nacional de Emergencia teme por inundaciones_76936,?Comité Nacional de Emergencia teme por inundaciones,Admin,1/6/2020,7,"1,70%",,DOCUMENT
,eventos meteorológicos,ola de calor,, Dos muertos por calor,?Dos muertos por calor,Admin,1/6/2020,4,"1,10%",,DOCUMENT
,eventos meteorológicos,viento,, Dos muertos por calor,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5,Admin,1/6/2020,16,"4,50%",,DOCUMENT
,efectos,rutas cortadas,, Están cortadas las rutas 61 y 6,?Están cortadas las rutas 61 y,Admin,1/6/2020,6,"1,40%",,DOCUMENT
,efectos,inundación,, Están cortadas las rutas 61 y 6,?Están cortadas las rutas 61 y 6,Admin,1/6/2020,7,"1,70%",,DOCUMENT
,eventos meteorológicos,lluvia,, Están cortadas las rutas 61 y 6,?Están cortadas las rutas 61 y 6,Admin,1/6/2020,7,"1,70%",,DOCUMENT
,eventos meteorológicos,lluvia,, Están cortadas las rutas 61 y 6,Lluvias,Admin,1/6/2020,1,"0,20%",,DOCUMENT
,efectos,evacuados,, Evacuados en Lavalleja_78936,?Evacuados en Lavallej,Admin,1/6/2020,3,"0,80%",,DOCUMENT
,eventos meteorológicos,lluvia,, Evacuados en Lavalleja_78936,?Evacuados en Lavalleja,Admin,1/6/2020,3,"0,80%",,DOCUMENT
,efectos,inundación,, Evacuados en Lavalleja_78936,?Evacuados en Lavalleja,Admin,1/6/2020,3,"0,80%",,DOCUMENT
,eventos meteorológicos,tormenta,, Tormentas intensas hasta el domingo_79134,?Tormentas intensas hasta el domingo,Admin,1/6/2020,5,"1,40%",,DOCUMENT
