,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,tormenta,, Advertencia meteorológica_124067,Advertencias naranja y amarilla para buena parte del país por tormentas fuertes,Admin,22/5/2020,12,"4,20%",,DOCUMENT
,efectos,destrozos,, Cayó una columna en el Centro por el viento,?Cayó una columna en el Centro por el viento,Admin,22/5/2020,9,"2,90%",,DOCUMENT
,eventos meteorológicos,viento,, Cayó una columna en el Centro por el viento,?Cayó una columna en el Centro por el viento,Admin,22/5/2020,9,"2,90%",,DOCUMENT
,efectos,árboles caídos,, El viento dejó 40 árboles caídos en Montevideo,?El viento dejó 40 árboles caídos en Montevideo,Admin,22/5/2020,8,"2,50%",,DOCUMENT
,eventos meteorológicos,viento,, El viento dejó 40 árboles caídos en Montevideo,?El viento dejó 40 árboles caídos en Montevideo,Admin,22/5/2020,8,"2,50%",,DOCUMENT
,eventos meteorológicos,viento,, El viento dejó 40 árboles caídos en Montevideo_119388,?El viento dejó 40 árboles caídos en Montevideo,Admin,22/5/2020,8,"2,50%",,DOCUMENT
,efectos,árboles caídos,, El viento dejó 40 árboles caídos en Montevideo_119388,?El viento dejó 40 árboles caídos en Montevideo,Admin,22/5/2020,8,"2,50%",,DOCUMENT
,eventos meteorológicos,tormenta,, Elevan advertencia a color naranja,Advertencias naranja y amarilla para buena parte del país por tormentas fuertes,Admin,22/5/2020,12,"4,50%",,DOCUMENT
,respuestas,ayuda damnificados,, Evacuados_ comienza retorno a sus hogares,?Evacuados: comienza retorno a sus hogare,Admin,22/5/2020,6,"2,00%",,DOCUMENT
,efectos,inundación,, Evacuados_ comienza retorno a sus hogares,?Evacuados: comienza retorno a sus hogares,Admin,22/5/2020,6,"2,00%",,DOCUMENT
,efectos,evacuados,, Evacuados_ comienza retorno a sus hogares,?Evacuados: comienza retorno a sus hogares,Admin,22/5/2020,6,"2,00%",,DOCUMENT
,efectos,inundación,, Evacuados_ se normaliza la situación en Santa Lucia y 25 de Agosto,?Evacuados: se normaliza la situación en Sant,Admin,22/5/2020,7,"2,10%",,DOCUMENT
,efectos,evacuados,, Evacuados_ se normaliza la situación en Santa Lucia y 25 de Agosto,?Evacuados: se normaliza la situación en Santa,Admin,22/5/2020,7,"2,10%",,DOCUMENT
,respuestas,ayuda damnificados,, Evacuados_ se normaliza la situación en Santa Lucia y 25 de Agosto,?Evacuados: se normaliza la situación en Santa,Admin,22/5/2020,7,"2,10%",,DOCUMENT
,eventos meteorológicos,lluvia,, Fin de semana con lluvias_115008,?Fin de semana con lluvias,Admin,22/5/2020,5,"1,60%",,DOCUMENT
