,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,ola de frío,, 30 indigentes trasladados el martes_142287,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"2,60%",,DOCUMENT
,efectos,evacuados,, 30 indigentes trasladados el martes_142287,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"2,60%",,DOCUMENT
,eventos meteorológicos,ola de frío,, Alerta Amarilla por frío_142369,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,50%",,DOCUMENT
,eventos meteorológicos,lluvia,, Alerta Amarilla por tormentas y abundantes lluvias_143652,?Alerta Amarilla por tormentas y abundantes lluvias,Admin,22/5/2020,7,"2,10%",,DOCUMENT
,eventos meteorológicos,tormenta,, Alerta Amarilla por tormentas y abundantes lluvias_143652,?Alerta Amarilla por tormentas y abundantes lluvias,Admin,22/5/2020,7,"2,10%",,DOCUMENT
,eventos meteorológicos,tormenta,, Alerta naranja hasta hoy,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,40%",,DOCUMENT
,eventos meteorológicos,viento,, Destrozos en Artigas por temporal_150661,?Destrozos en Artigas por temporal,Admin,22/5/2020,5,"1,60%",,DOCUMENT
,efectos,destrozos,, Destrozos en Artigas por temporal_150661,?Destrozos en Artigas por temporal,Admin,22/5/2020,5,"1,60%",,DOCUMENT
,eventos meteorológicos,viento,, Destrozos en Artigas por temporal_150661,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,10%",,DOCUMENT
,efectos,destrozos,, Destrozos en Artigas por temporal_150661,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,10%",,DOCUMENT
,Actores,SINAE,, El plan del gobierno ante el frío_142147,Pou participó del acto por el 209 aniversario del Ejércit,Admin,22/5/2020,10,"3,80%",,DOCUMENT
,respuestas,ayuda damnificados,, El plan del gobierno ante el frío_142147,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,80%",,DOCUMENT
,eventos meteorológicos,ola de frío,, El plan del gobierno ante el frío_142147,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,80%",,DOCUMENT
,efectos,rutas cortadas,, Evacuados y rutas cortadas,?Evacuados y rutas cortad,Admin,22/5/2020,4,"1,20%",,DOCUMENT
,eventos meteorológicos,lluvia,, Evacuados y rutas cortadas,?Evacuados y rutas cortada,Admin,22/5/2020,4,"1,20%",,DOCUMENT
,efectos,inundación,, Evacuados y rutas cortadas,?Evacuados y rutas cortadas,Admin,22/5/2020,4,"1,20%",,DOCUMENT
,efectos,evacuados,, Evacuados y rutas cortadas,?Evacuados y rutas cortadas,Admin,22/5/2020,4,"1,20%",,DOCUMENT
,respuestas,ayuda damnificados,, Frío polar sin internaciones compulsivas,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"2,70%",,DOCUMENT
,eventos meteorológicos,ola de frío,, Frío polar sin internaciones compulsivas,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"2,70%",,DOCUMENT
,eventos meteorológicos,viento,, h este miércoles_152935,?Vientos de 100 km/h este miércoles,Admin,22/5/2020,7,"1,90%",,DOCUMENT
,eventos meteorológicos,ola de frío,, Meteorología_ fin de semana frío_142830,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,40%",,DOCUMENT
,eventos meteorológicos,lluvia,, Meteorología_ lluvias el fin de semana_151625,?Meteorología: lluvias el fin de semana,Admin,22/5/2020,6,"2,00%",,DOCUMENT
,Actores,MIDES,, MIDES abrió nuevos refugios por frios_141905,Pou participó del acto por el 209 aniversario del Ejércit,Admin,22/5/2020,10,"3,20%",,DOCUMENT
,respuestas,ayuda damnificados,, MIDES abrió nuevos refugios por frios_141905,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,20%",,DOCUMENT
,eventos meteorológicos,ola de frío,, MIDES abrió nuevos refugios por frios_141905,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,20%",,DOCUMENT
,eventos meteorológicos,ola de frío,, MIDES aumenta cupos en refugios_146400,Pou participó del acto por el 209 aniversario del Ejércit,Admin,22/5/2020,10,"3,10%",,DOCUMENT
,respuestas,ayuda damnificados,, MIDES aumenta cupos en refugios_146400,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,10%",,DOCUMENT
,Actores,MIDES,, MIDES aumenta cupos en refugios_146400,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,10%",,DOCUMENT
,eventos meteorológicos,ola de frío,, Nueva alerta Amarilla por frío y lluvias_144280,?Nueva alerta Amarilla por frío y lluvias,Admin,22/5/2020,7,"2,10%",,DOCUMENT
,eventos meteorológicos,lluvia,, Nueva alerta Amarilla por frío y lluvias_144280,?Nueva alerta Amarilla por frío y lluvias,Admin,22/5/2020,7,"2,10%",,DOCUMENT
,eventos meteorológicos,ola de frío,, Ola polar al menos hasta el viernes,Pou participó del acto por el 209 aniversario del Ejército,Admin,22/5/2020,10,"3,20%",,DOCUMENT
,eventos meteorológicos,tormenta,, Pronóstico de tormentas_150032,?Pronóstico de tormentas,Admin,22/5/2020,3,"1,10%",,DOCUMENT
,eventos meteorológicos,ola de frío,, Tormentas intensas y frío el fin de semana_142899,?Tormentas intensas y frío el fin de semana,Admin,22/5/2020,8,"2,30%",,DOCUMENT
,eventos meteorológicos,tormenta,, Tormentas intensas y frío el fin de semana_142899,?Tormentas intensas y frío el fin de semana,Admin,22/5/2020,8,"2,30%",,DOCUMENT
