,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,lluvia,, 1179 evacuados en el país,? 1179 evacuados en el paí,Admin,13/5/2020,5,"1,50%",,DOCUMENT
,efectos,inundación,, 1179 evacuados en el país,? 1179 evacuados en el país,Admin,13/5/2020,5,"1,50%",,DOCUMENT
,efectos,evacuados,, 1179 evacuados en el país,? 1179 evacuados en el país,Admin,13/5/2020,5,"1,50%",,DOCUMENT
,efectos,árboles caídos,, 13 árboles caídos en Montevideo,? 13 árboles caídos en Montevideo,Admin,13/5/2020,5,"1,80%",,DOCUMENT
,eventos meteorológicos,viento,, 13 árboles caídos en Montevideo,? 13 árboles caídos en Montevideo,Admin,13/5/2020,5,"1,80%",,DOCUMENT
,eventos meteorológicos,ola de calor,, Advertencia naranja por ola de calor,?Advertencia naranja por ola de calor,Admin,13/5/2020,6,"1,80%",,DOCUMENT
,eventos meteorológicos,viento,, Advierten por posible turbonada y abundantes lluvias a partir del viernes,?Advierten por posible turbonada y abundantes lluvias a partir del viernes,Admin,13/5/2020,11,"2,80%",,DOCUMENT
,eventos meteorológicos,lluvia,, Advierten por posible turbonada y abundantes lluvias a partir del viernes,?Advierten por posible turbonada y abundantes lluvias a partir del viernes,Admin,13/5/2020,11,"2,80%",,DOCUMENT
,eventos meteorológicos,ola de calor,, Continuará la ola de calor,?Continuará la ola de calor,Admin,13/5/2020,5,"1,60%",,DOCUMENT
,respuestas,ayuda damnificados,, El retorno de los evacuados,?El retorno de los evacuado,Admin,13/5/2020,5,"1,60%",,DOCUMENT
,efectos,inundación,, El retorno de los evacuados,?El retorno de los evacuados,Admin,13/5/2020,5,"1,60%",,DOCUMENT
,efectos,evacuados,, El retorno de los evacuados,?El retorno de los evacuados,Admin,13/5/2020,5,"1,60%",,DOCUMENT
,efectos,inundación,, Evacuados comenzarán a volver,?Evacuados comenzarán a volve,Admin,13/5/2020,4,"1,40%",,DOCUMENT
,efectos,evacuados,, Evacuados comenzarán a volver,?Evacuados comenzarán a volver,Admin,13/5/2020,4,"1,40%",,DOCUMENT
,respuestas,ayuda damnificados,, Evacuados comenzarán a volver,?Evacuados comenzarán a volver,Admin,13/5/2020,4,"1,40%",,DOCUMENT
,efectos,evacuados,, Inundaciones_ 692 personas evacuadas,?Inundaciones: 692 personas evacuada,Admin,13/5/2020,4,"1,50%",,DOCUMENT
,efectos,inundación,, Inundaciones_ 692 personas evacuadas,?Inundaciones: 692 personas evacuadas,Admin,13/5/2020,4,"1,50%",,DOCUMENT
,eventos meteorológicos,lluvia,, Inundaciones_ 692 personas evacuadas,?Inundaciones: 692 personas evacuadas,Admin,13/5/2020,4,"1,50%",,DOCUMENT
,eventos meteorológicos,lluvia,, Meteorología_ Alerta naranja para el jueves,Metsul alerta por inundaciones,Admin,13/5/2020,4,"1,00%",,DOCUMENT
,efectos,inundación,, Meteorología_ Alerta naranja para el jueves,Metsul alerta por inundaciones,Admin,13/5/2020,4,"1,00%",,DOCUMENT
,eventos meteorológicos,lluvia,, Meteorología_ pronóstico de lluvias,?Meteorología: pronóstico de lluvias,Admin,13/5/2020,4,"1,30%",,DOCUMENT
,eventos meteorológicos,tormenta,, Nueva tormenta el viernes,?Nueva tormenta el viernes,Admin,13/5/2020,4,"1,30%",,DOCUMENT
,eventos meteorológicos,viento,, Ramis confirma temporal de viento,?Ramis confirma temporal de viento,Admin,13/5/2020,5,"1,40%",,DOCUMENT
,eventos meteorológicos,tormenta,, Reafirman pronóstico de fuerte tormenta,?Reafirman pronóstico de fuerte tormenta,Admin,13/5/2020,5,"1,50%",,DOCUMENT
,efectos,rutas cortadas,, Río Cuareim sigue descendiendo,Rutas cortadas,Admin,13/5/2020,2,"0,70%",,DOCUMENT
,efectos,inundación,, Río Cuareim sigue descendiendo,Rutas cortadas,Admin,13/5/2020,2,"0,70%",,DOCUMENT
,efectos,evacuados,, Se suman evacuados en Artigas,?Se suman evacuados en Artiga,Admin,13/5/2020,5,"1,50%",,DOCUMENT
,eventos meteorológicos,lluvia,, Se suman evacuados en Artigas,?Se suman evacuados en Artigas,Admin,13/5/2020,5,"1,50%",,DOCUMENT
,efectos,inundación,, Se suman evacuados en Artigas,?Se suman evacuados en Artigas,Admin,13/5/2020,5,"1,50%",,DOCUMENT
,eventos meteorológicos,lluvia,, Treinta y Tres_ aumentan evacuados,?Treinta y Tres: aumentan evacuado,Admin,13/5/2020,5,"1,80%",,DOCUMENT
,efectos,inundación,, Treinta y Tres_ aumentan evacuados,?Treinta y Tres: aumentan evacuados,Admin,13/5/2020,5,"1,80%",,DOCUMENT
,efectos,evacuados,, Treinta y Tres_ aumentan evacuados,?Treinta y Tres: aumentan evacuados,Admin,13/5/2020,5,"1,80%",,DOCUMENT
