,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,efectos,evacuados,, 1.802 evacuados en el país,? 1.802 evacuados en el país 1.802 evacuados en el país,Admin,6/5/2020,12,"3,50%",,DOCUMENT
,efectos,inundación,, 1.802 evacuados en el país,? 1.802 evacuados en el país 1.802 evacuados en el país,Admin,6/5/2020,12,"3,50%",,DOCUMENT
,efectos,inundación,, 1.802 evacuados en el país,Recibilas diariamente en tu email 1.802 evacuados en el país,Admin,6/5/2020,11,"3,20%",,DOCUMENT
,efectos,evacuados,, 1.802 evacuados en el país,Recibilas diariamente en tu email 1.802 evacuados en el país,Admin,6/5/2020,11,"3,20%",,DOCUMENT
,efectos,evacuados,, 1195 evacuados en todo el país,? 1195 evacuados en todo el país 1195 evacuados en todo el país,Admin,6/5/2020,12,"3,90%",,DOCUMENT
,efectos,inundación,, 1195 evacuados en todo el país,? 1195 evacuados en todo el país 1195 evacuados en todo el país,Admin,6/5/2020,12,"3,90%",,DOCUMENT
,efectos,evacuados,, 1195 evacuados en todo el país,“Queremos volver pero no tenemos que apurarnos para mandarnos una macana” 1195 evacuados en todo el país,Admin,6/5/2020,17,"5,50%",,DOCUMENT
,efectos,rutas cortadas,, 274 desplazados y 6 rutas cortadas,? 274 desplazados y 6 rutas cortadas 274 desplazados y 6 rutas cortad,Admin,6/5/2020,12,"4,10%",,DOCUMENT
,efectos,evacuados,, 274 desplazados y 6 rutas cortadas,? 274 desplazados y 6 rutas cortadas 274 desplazados y 6 rutas cortada,Admin,6/5/2020,12,"4,10%",,DOCUMENT
,efectos,inundación,, 274 desplazados y 6 rutas cortadas,? 274 desplazados y 6 rutas cortadas 274 desplazados y 6 rutas cortadas,Admin,6/5/2020,12,"4,10%",,DOCUMENT
,eventos meteorológicos,lluvia,, 274 desplazados y 6 rutas cortadas,? 274 desplazados y 6 rutas cortadas 274 desplazados y 6 rutas cortadas,Admin,6/5/2020,12,"4,10%",,DOCUMENT
,efectos,inundación,, 631 evacuados en todo el país,? 631 evacuados en todo el país 631 evacuados en todo el país,Admin,6/5/2020,12,"4,10%",,DOCUMENT
,efectos,evacuados,, 631 evacuados en todo el país,? 631 evacuados en todo el país 631 evacuados en todo el país,Admin,6/5/2020,12,"4,10%",,DOCUMENT
,eventos meteorológicos,tormenta,, Advertencia Amarilla por tormentas hasta las 12_00 del miércoles,?Advertencia Amarilla por tormentas hasta las 12:00 del miércoles,Admin,6/5/2020,10,"3,10%",,DOCUMENT
,eventos meteorológicos,tormenta,, Advertencia Amarilla por tormentas,?Advertencia Amarilla por tormentas,Admin,6/5/2020,4,"1,20%",,DOCUMENT
,eventos meteorológicos,viento,, Advertencia Amarilla por vientos y tormentas,?Advertencia amarilla por vientos y tormentas,Admin,6/5/2020,6,"1,70%",,DOCUMENT
,eventos meteorológicos,tormenta,, Advertencia Amarilla por vientos y tormentas,?Advertencia amarilla por vientos y tormentas,Admin,6/5/2020,6,"1,70%",,DOCUMENT
,eventos meteorológicos,tormenta,, Advertencia de Nivel Amarillo para el norte por tormentas intensas,?Advertencia de Nivel Amarillo para el norte por tormentas intensas,Admin,6/5/2020,10,"3,00%",,DOCUMENT
,eventos meteorológicos,lluvia,, Advertencia de nivel amarillo por lluvias abundantes y tormentas,?Advertencia de nivel amarillo por lluvias abundantes y tormentas,Admin,6/5/2020,9,"2,80%",,DOCUMENT
,eventos meteorológicos,tormenta,, Advertencia de nivel amarillo por lluvias abundantes y tormentas,?Advertencia de nivel amarillo por lluvias abundantes y tormentas,Admin,6/5/2020,9,"2,80%",,DOCUMENT
,eventos meteorológicos,tormenta,, Advertencia de nivel amarillo por tormentas,?Advertencia de nivel amarillo por tormentas,Admin,6/5/2020,6,"1,80%",,DOCUMENT
