,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,efectos,inundación,, 55 evacuados en todo el país,? 55 evacuados en todo el país,Admin,6/5/2020,6,"2,00%",,DOCUMENT
,efectos,evacuados,, 55 evacuados en todo el país,? 55 evacuados en todo el país,Admin,6/5/2020,6,"2,00%",,DOCUMENT
,efectos,evacuados,, 55 evacuados en todo el país,"Uruguay: su llegada, los vectores que conocemos y la reactivación paulatina 55 evacuados en todo el país",Admin,6/5/2020,17,"5,60%",,DOCUMENT
,efectos,inundación,, 55 evacuados en todo el país,"Uruguay: su llegada, los vectores que conocemos y la reactivación paulatina 55 evacuados en todo el país",Admin,6/5/2020,17,"5,60%",,DOCUMENT
,efectos,inundación,, 790 evacuados en total,?Evacuados,Admin,6/5/2020,1,"0,30%",,DOCUMENT
,efectos,evacuados,, 790 evacuados en total,?Evacuados,Admin,6/5/2020,1,"0,30%",,DOCUMENT
,efectos,rutas cortadas,, 790 evacuados en total,Rutas cortadas,Admin,6/5/2020,2,"0,60%",,DOCUMENT
,efectos,inundación,, 790 evacuados en total,Rutas cortadas,Admin,6/5/2020,2,"0,60%",,DOCUMENT
,eventos meteorológicos,ola de calor,, Advertencia por ola de calor,?Advertencia por ola de calor,Admin,6/5/2020,5,"1,70%",,DOCUMENT
,efectos,evacuados,, Cantidad de evacuados bajó a 443,?Cantidad de evacuados bajó a 443,Admin,6/5/2020,6,"1,80%",,DOCUMENT
,efectos,inundación,, Cantidad de evacuados bajó a 443,?Cantidad de evacuados bajó a 443,Admin,6/5/2020,6,"1,80%",,DOCUMENT
,efectos,rutas cortadas,, Evacuados en el país,Evacuados en el paí,Admin,6/5/2020,4,"1,20%",,DOCUMENT
,efectos,inundación,, Evacuados en el país,Evacuados en el país,Admin,6/5/2020,4,"1,20%",,DOCUMENT
,efectos,evacuados,, Evacuados en el país,Evacuados en el país,Admin,6/5/2020,4,"1,20%",,DOCUMENT
,efectos,rutas cortadas,, Evacuados en el país,Rutas cortadas,Admin,6/5/2020,2,"0,60%",,DOCUMENT
,efectos,evacuados,, Evacuados en el país,Evacuados en el país,Admin,6/5/2020,4,"1,20%",,DOCUMENT
,respuestas,ayuda damnificados,, Evacuados en el país,Evacuados en el país,Admin,6/5/2020,4,"1,20%",,DOCUMENT
,efectos,evacuados,, Evacuados en el país,Evacuados en el país,Admin,6/5/2020,4,"1,20%",,DOCUMENT
,Actores,Intendencia,, IM explicó colapso de desagües por lluvia del 26 de diciembre,?IM explicó colapso de desagües por lluvia del 26 de diciemb,Admin,6/5/2020,11,"2,90%",,DOCUMENT
,respuestas,soluciones ciudad,, IM explicó colapso de desagües por lluvia del 26 de diciembre,?IM explicó colapso de desagües por lluvia del 26 de diciembr,Admin,6/5/2020,11,"2,90%",,DOCUMENT
,efectos,inundación,, IM explicó colapso de desagües por lluvia del 26 de diciembre,?IM explicó colapso de desagües por lluvia del 26 de diciembre,Admin,6/5/2020,11,"2,90%",,DOCUMENT
,eventos meteorológicos,lluvia,, IM explicó colapso de desagües por lluvia del 26 de diciembre,?IM explicó colapso de desagües por lluvia del 26 de diciembre,Admin,6/5/2020,11,"2,90%",,DOCUMENT
