,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,efectos,rutas cortadas,, 4.158 desplazados por inundaciones,Cinco rutas permanecen cortadas en distintos puntos.,Admin,24/07/2020,7,"2,20%",,DOCUMENT
,Actores,SINAE,, 4.158 desplazados por inundaciones,"El Sistema Nacional de Emer gencias informó que este lunes disminuyó a cuatr o el númer o de departamentos afectados por las inundaciones. Hay 4.158 desplazados en Dur azno, T r einta y T r es, T acuar embó y Soriano, y ya r egr esar on a sus casas los e vacuados de Canelones, Colonia, Maldonado y Sar andí del",Admin,24/07/2020,62,"19,70%",,DOCUMENT
,efectos,evacuados,, 4.158 desplazados por inundaciones,"El Sistema Nacional de Emer gencias informó que este lunes disminuyó a cuatr o el númer o de departamentos afectados por las inundaciones. Hay 4.158 desplazados en Dur azno, T r einta y T r es, T acuar embó y Soriano, y ya r egr esar on a sus casas los e vacuados de Canelones, Colonia, Maldonado y Sar andí del Yí",Admin,24/07/2020,63,"20,00%",,DOCUMENT
,efectos,inundación,, 4.158 desplazados por inundaciones,"El Sistema Nacional de Emer gencias informó que este lunes disminuyó a cuatr o el númer o de departamentos afectados por las inundaciones. Hay 4.158 desplazados en Dur azno, T r einta y T r es, T acuar embó y Soriano, y ya r egr esar on a sus casas los e vacuados de Canelones, Colonia, Maldonado y Sar andí del Yí.",Admin,24/07/2020,63,"20,00%",,DOCUMENT
,eventos meteorológicos,lluvia,, 4.158 desplazados por inundaciones,"El Sistema Nacional de Emer gencias informó que este lunes disminuyó a cuatr o el númer o de departamentos afectados por las inundaciones. Hay 4.158 desplazados en Dur azno, T r einta y T r es, T acuar embó y Soriano, y ya r egr esar on a sus casas los e vacuados de Canelones, Colonia, Maldonado y Sar andí del Yí.",Admin,24/07/2020,63,"20,00%",,DOCUMENT
,efectos,corte de luz eléctrica,, Dos mil hogares permanecen sin electricidad tras el temporal,"La Dir ección Nacional de Bomber os debió intervenir en 188 oportunidades en Monte video, San José y Canelones como consecuencia del tempor al que afectó al sur del país en las últimas hor as. Según informó el Sistema Nacional de  Emer gencias (SINAE), todavía quedan 2000 hogar es sin electricidad.",Admin,24/07/2020,51,"13,30%",,DOCUMENT
,eventos meteorológicos,tormenta,, Dos mil hogares permanecen sin electricidad tras el temporal,"La Dir ección Nacional de Bomber os debió intervenir en 188 oportunidades en Monte video, San José y Canelones como consecuencia del tempor al que afectó al sur del país en las últimas hor as. Según informó el Sistema Nacional de  Emer gencias (SINAE), todavía quedan 2000 hogar es sin electricidad.",Admin,24/07/2020,51,"13,30%",,DOCUMENT
,Actores,SINAE,, Dos mil hogares permanecen sin electricidad tras el temporal,"La Dir ección Nacional de Bomber os debió intervenir en 188 oportunidades en Monte video, San José y Canelones como consecuencia del tempor al que afectó al sur del país en las últimas hor as. Según informó el Sistema Nacional de  Emer gencias (SINAE), todavía quedan 2000 hogar es sin electricidad.",Admin,24/07/2020,51,"13,30%",,DOCUMENT
,efectos,voladura de techos,, Dos mil hogares permanecen sin electricidad tras el temporal,"A tr avés de un comunicado, el Sinae informó que Bomber os intervino en 151 oportunidades en Monte video: 70 por caída de árboles sobr e estructur as, 50 por caída de árboles sobr e la vía pública, 18 por caída de columnas, 6 por voladur as de techo, 4 por caída de árboles sobr e vehículos y 3 por derrumbes par ciales de estructur a.",Admin,24/07/2020,66,"17,20%",,DOCUMENT
,efectos,árboles caídos,, Dos mil hogares permanecen sin electricidad tras el temporal,"A tr avés de un comunicado, el Sinae informó que Bomber os intervino en 151 oportunidades en Monte video: 70 por caída de árboles sobr e estructur as, 50 por caída de árboles sobr e la vía pública, 18 por caída de columnas, 6 por voladur as de techo, 4 por caída de árboles sobr e vehículos y 3 por derrumbes par ciales de estructur a.",Admin,24/07/2020,66,"17,20%",,DOCUMENT
,Actores,SINAE,, Pronostican lluvias para lunes y martes. Alerta amarilla en varios departamentos,"De acuer do al último r ele vamiento divulgado por  el Sistema Nacional de Emer gencias (SINAE), asciende a 2326 el númer o de personas desplazadas en todo el territorio nacional a causa del aumento del caudal de distintos ríos y arr o yos debido a las intensas lluvias r egistr adas desde la noche del 11 de agosto.",Admin,24/07/2020,59,"11,20%",,DOCUMENT
,eventos meteorológicos,lluvia,, Pronostican lluvias para lunes y martes. Alerta amarilla en varios departamentos,"De acuer do al último r ele vamiento divulgado por  el Sistema Nacional de Emer gencias (SINAE), asciende a 2326 el númer o de personas desplazadas en todo el territorio nacional a causa del aumento del caudal de distintos ríos y arr o yos debido a las intensas lluvias r egistr adas desde la noche del 11 de agosto.",Admin,24/07/2020,59,"11,20%",,DOCUMENT
,efectos,inundación,, Pronostican lluvias para lunes y martes. Alerta amarilla en varios departamentos,"De acuer do al último r ele vamiento divulgado por  el Sistema Nacional de Emer gencias (SINAE), asciende a 2326 el númer o de personas desplazadas en todo el territorio nacional a causa del aumento del caudal de distintos ríos y arr o yos debido a las intensas lluvias r egistr adas desde la noche del 11 de agosto",Admin,24/07/2020,59,"11,20%",,DOCUMENT
