,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,efectos,inundación,," 40 evacuados en Dolores, tras lluvias del domingo","? 40 evacuados en Dolores, tras lluvias del doming",Admin,29/4/2020,8,"4,00%",,DOCUMENT
,efectos,evacuados,," 40 evacuados en Dolores, tras lluvias del domingo","? 40 evacuados en Dolores, tras lluvias del domingo",Admin,29/4/2020,8,"4,00%",,DOCUMENT
,eventos meteorológicos,lluvia,," 40 evacuados en Dolores, tras lluvias del domingo","? 40 evacuados en Dolores, tras lluvias del domingo",Admin,29/4/2020,8,"4,00%",,DOCUMENT
,efectos,evacuados,," 40 evacuados en Dolores, tras lluvias del domingo","Cavani en Napoli: “Era una máquina. Acababa la práctica y corría una hora” 40 evacuados en Dolores, tras lluvias del domingo",Admin,29/4/2020,21,"10,60%",,DOCUMENT
,eventos meteorológicos,lluvia,," 40 evacuados en Dolores, tras lluvias del domingo","Cavani en Napoli: “Era una máquina. Acababa la práctica y corría una hora” 40 evacuados en Dolores, tras lluvias del domingo",Admin,29/4/2020,21,"10,60%",,DOCUMENT
,eventos meteorológicos,lluvia,," 40 evacuados en Dolores, tras lluvias del domingo","-23 40 evacuados en Dolores, tras lluvias del domingo",Admin,29/4/2020,9,"4,50%",,DOCUMENT
,efectos,evacuados,," 40 evacuados en Dolores, tras lluvias del domingo","-23 40 evacuados en Dolores, tras lluvias del domingo",Admin,29/4/2020,9,"4,50%",,DOCUMENT
,efectos,evacuados,," 40 evacuados en Dolores, tras lluvias del domingo","+15 0 15 40 evacuados en Dolores, tras lluvias del domingo",Admin,29/4/2020,11,"5,60%",,DOCUMENT
,eventos meteorológicos,lluvia,," 40 evacuados en Dolores, tras lluvias del domingo","+15 0 15 40 evacuados en Dolores, tras lluvias del domingo",Admin,29/4/2020,11,"5,60%",,DOCUMENT
,eventos meteorológicos,viento,, Alerta amarilla desde medianoche por tormentas intensas - ECOS UY,"Según explicó el Instituto Uruguayo de Meteorología (Inumet), ""los departamentos comprendidos en la franja costera del país se encuentran afectados por una masa de aire cálida, húmeda e inestable que generarán tormentas puntualmente intensas con actividad eléctrica, ocasionales granizadas, rachas de viento entre 60 - 75 km/h, y precipitaciones abundantes (20 - 50 mm).",Admin,29/4/2020,53,"23,20%",,DOCUMENT
