,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,respuestas,ayuda damnificados,," A ocho meses del tornado, cien doloreños aún viven en contenedores - ECOS UY","A ocho meses de ese día, aún unas 100 personas siguen viviendo en unos treinta y cinco contenedores de poco más de diez metros cuadrados, algo así como una habitación grande para en algunos casos matrimonios con hijos. “Es complicado vivir ahí, sobre todo con estos calores”, afirmó el jefe municipal. A ellos, aún el Ejército les sigue preparando la comida, que es distribuida por",Admin,29/4/2020,65,"25,30%",,DOCUMENT
,efectos,evacuados,," A ocho meses del tornado, cien doloreños aún viven en contenedores - ECOS UY","A ocho meses de ese día, aún unas 100 personas siguen viviendo en unos treinta y cinco contenedores de poco más de diez metros cuadrados, algo así como una habitación grande para en algunos casos matrimonios con hijos. “Es complicado vivir ahí, sobre todo con estos calores”, afirmó el jefe municipal. A ellos, aún el Ejército les sigue preparando la comida, que es distribuida por l",Admin,29/4/2020,66,"25,70%",,DOCUMENT
,eventos meteorológicos,tornado,," A ocho meses del tornado, cien doloreños aún viven en contenedores - ECOS UY","A ocho meses de ese día, aún unas 100 personas siguen viviendo en unos treinta y cinco contenedores de poco más de diez metros cuadrados, algo así como una habitación grande para en algunos casos matrimonios con hijos. “Es complicado vivir ahí, sobre todo con estos calores”, afirmó el jefe municipal. A ellos, aún el Ejército les sigue preparando la comida, que es distribuida por la",Admin,29/4/2020,66,"25,70%",,DOCUMENT
,Actores,Ejército,," A ocho meses del tornado, cien doloreños aún viven en contenedores - ECOS UY","A ocho meses de ese día, aún unas 100 personas siguen viviendo en unos treinta y cinco contenedores de poco más de diez metros cuadrados, algo así como una habitación grande para en algunos casos matrimonios con hijos. “Es complicado vivir ahí, sobre todo con estos calores”, afirmó el jefe municipal. A ellos, aún el Ejército les sigue preparando la comida, que es distribuida por la",Admin,29/4/2020,66,"25,70%",,DOCUMENT
,respuestas,ayuda damnificados,," A ocho meses del tornado, cien doloreños aún viven en contenedores - ECOS UY",Intendencia de Soriano (IS).,Admin,29/4/2020,4,"1,60%",,DOCUMENT
,eventos meteorológicos,tornado,," A ocho meses del tornado, cien doloreños aún viven en contenedores - ECOS UY",Intendencia de Soriano (IS).,Admin,29/4/2020,4,"1,60%",,DOCUMENT
,eventos meteorológicos,viento,, Alerta amarilla desde medianoche por tormentas intensas - ECOS UY,"Según explicó el Instituto Uruguayo de Meteorología (Inumet), ""los departamentos comprendidos en la franja costera del país se encuentran afectados por una masa de aire cálida, húmeda e inestable que generarán tormentas puntualmente intensas con actividad eléctrica, ocasionales granizadas, rachas de viento entre 60 - 75 km/h, y precipitaciones abundantes (20 - 50 mm).",Admin,29/4/2020,53,"23,20%",,DOCUMENT
,eventos meteorológicos,tormenta,, Alerta amarilla desde medianoche por tormentas intensas - ECOS UY,"Según explicó el Instituto Uruguayo de Meteorología (Inumet), ""los departamentos comprendidos en la franja costera del país se encuentran afectados por una masa de aire cálida, húmeda e inestable que generarán tormentas puntualmente intensas con actividad eléctrica, ocasionales granizadas, rachas de viento entre 60 - 75 km/h, y precipitaciones abundantes (20 - 50 mm).",Admin,29/4/2020,53,"23,20%",,DOCUMENT
,eventos meteorológicos,viento,, Alerta amarilla para doce departamentos del país. - ECOS UY,"Se prevén precipitaciones abuntantes entre 20-50 mm en 6 horas, ocasional caída de granizo, rachas de viento fuerte del SW entre 60-75 km/h e intensa actividad eléctrica.",Admin,29/4/2020,30,"21,40%",,DOCUMENT
,eventos meteorológicos,lluvia,, Alerta amarilla para doce departamentos del país. - ECOS UY,"Se prevén precipitaciones abuntantes entre 20-50 mm en 6 horas, ocasional caída de granizo, rachas de viento fuerte del SW entre 60-75 km/h e intensa actividad eléctrica.",Admin,29/4/2020,30,"21,40%",,DOCUMENT
