,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,ola de frío,, ¿Fue nieve o granizo blando lo que cayó en Lavalleja_ Metsul no tiene dudas,"Desde el Penitente y Villa Serr ana, usuarios y sitios meteor ológicos r eportar on este fenómeno como nie ve. ""Nie ve me zclada con lluvia cayó en el departamento de Lavalleja. El año pasado, en la gr an ola de frío, la misma ár ea r egistr ó caída de nie ve"", asegur ó el servicio meteor ológico Metsul, de Br asil.",Admin,16/6/2020,63,"2,20%",,DOCUMENT
,eventos meteorológicos,tormenta,, 112 evacuados y daños en viviendas es el saldo de las tormentas de las últimas horas,? https://www .montevideo.com.uy/Noticias/1 12-evacuados-y-danos-en-viviendas-es-el-saldo-de-las-tormentas-de-las-ultimas-horas-uc704881 1 / 12,Admin,16/6/2020,26,"2,30%",,DOCUMENT
,efectos,evacuados,, 112 evacuados y daños en viviendas es el saldo de las tormentas de las últimas horas,? https://www .montevideo.com.uy/Noticias/1 12-evacuados-y-danos-en-viviendas-es-el-saldo-de-las-tormentas-de-las-ultimas-horas-uc704881 1 / 12,Admin,16/6/2020,26,"2,30%",,DOCUMENT
,eventos meteorológicos,lluvia,, 112 evacuados y daños en viviendas es el saldo de las tormentas de las últimas horas,"Las fuertes lluvias y tormentas que se r egistr ar on el jue ves y en la madrugada del viernes causar on la e vacuación de 112 personas y daños en viviendas, arbolado y tendido eléctrico, informó el Sistema Nacional de Emer gencia (Sinae).",Admin,16/6/2020,44,"3,80%",,DOCUMENT
,Actores,SINAE,, 112 evacuados y daños en viviendas es el saldo de las tormentas de las últimas horas,"Las fuertes lluvias y tormentas que se r egistr ar on el jue ves y en la madrugada del viernes causar on la e vacuación de 112 personas y daños en viviendas, arbolado y tendido eléctrico, informó el Sistema Nacional de Emer gencia (Sinae).",Admin,16/6/2020,44,"3,80%",,DOCUMENT
,efectos,inundación,, 112 evacuados y daños en viviendas es el saldo de las tormentas de las últimas horas,"En la capital fuer on cinco las personas e vacuadas y los destr o zos se contabilizar on en ""más de 50 árboles caídos y algunas inundaciones urbanas"", según dijo a Efe el Centr o Coor dinador de Emer gencias Departamentales (CEC OED).",Admin,16/6/2020,43,"3,70%",,DOCUMENT
,efectos,árboles caídos,, 112 evacuados y daños en viviendas es el saldo de las tormentas de las últimas horas,"En la capital fuer on cinco las personas e vacuadas y los destr o zos se contabilizar on en ""más de 50 árboles caídos y algunas inundaciones urbanas"", según dijo a Efe el Centr o Coor dinador de Emer gencias Departamentales (CEC OED).",Admin,16/6/2020,43,"3,70%",,DOCUMENT
,eventos meteorológicos,viento,, Accesos a Piriápolis quedaron saturados por arena el fin de semana,"El alcalde informó que las tar eas de r emoción de la ar ena comenzar on el domingo, cuando el viento comenzó a amainar, y culminar on el lunes.",Admin,16/6/2020,29,"1,50%",,DOCUMENT
,eventos meteorológicos,tormenta,, Advertencia amarilla para siete departamentos,"Allí, se esper an lluvias, algunas intensas y formación de tormentas aisladas, con ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes.",Admin,16/6/2020,27,"3,10%",,DOCUMENT
,eventos meteorológicos,lluvia,, Advertencia amarilla para siete departamentos,"Allí, se esper an lluvias, algunas intensas y formación de tormentas aisladas, con ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes.",Admin,16/6/2020,27,"3,10%",,DOCUMENT
,eventos meteorológicos,viento,, Advertencia amarilla para siete departamentos,"Allí, se esper an lluvias, algunas intensas y formación de tormentas aisladas, con ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes.",Admin,16/6/2020,27,"3,10%",,DOCUMENT
,eventos meteorológicos,tormenta,, Advertencia amarilla por tormentas fuertes para el suroeste del país,? https://www .montevideo.com.uy/Noticias/Advertencia-amarilla-por-tormentas-fuertes-para-el-suroeste-del-pais-uc702592 1 / 1 1,Admin,16/6/2020,20,"2,40%",,DOCUMENT
,eventos meteorológicos,lluvia,, Advertencia amarilla por tormentas fuertes para el suroeste del país,"Las tormentas afectar án a localidades de cuatr o departamentos, con la posibilidad de lluvias intensas y actividad eléctrica.",Admin,16/6/2020,19,"2,30%",,DOCUMENT
,eventos meteorológicos,viento,, Advertencia amarilla por tormentas fuertes para el suroeste del país,"""Cabe destacar que en zonas de tormentas se podr án r egistr ar lluvias intensas en cortos períodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes"", indicó el Inumet.",Admin,16/6/2020,37,"4,40%",,DOCUMENT
,eventos meteorológicos,tormenta,," Advertencia Amarilla por tormentas fuertes para Montevideo y parte de Florida, Lavalleja, Maldonado y San José",? https://www .montevideo.com.uy/Noticias/Advertencia-Amarilla-por-tormentas-fuertes-para-Montevideo-y-parte-de-Florida-Lavalleja-Maldonado-y … 1 / 1 1,Admin,16/6/2020,23,"2,60%",,DOCUMENT
,eventos meteorológicos,lluvia,," Advertencia Amarilla por tormentas fuertes para Montevideo y parte de Florida, Lavalleja, Maldonado y San José","Podr án r egistr arse lluvias intensas en cortos períodos, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes.",Admin,16/6/2020,24,"2,70%",,DOCUMENT
,eventos meteorológicos,viento,," Advertencia Amarilla por tormentas fuertes para Montevideo y parte de Florida, Lavalleja, Maldonado y San José","Podr án r egistr arse lluvias intensas en cortos períodos, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes.",Admin,16/6/2020,24,"2,70%",,DOCUMENT
,eventos meteorológicos,tormenta,," Advertencia amarilla por tormentas para Montevideo, Canelones y parte de Maldonado",? https://www .montevideo.com.uy/Noticias/Advertencia-amarilla-por-tormentas-para-Montevideo-Canelones-y-parte-de-Maldonado-uc705996 1 / 12,Admin,16/6/2020,20,"1,30%",,DOCUMENT
,eventos meteorológicos,lluvia,," Advertencia amarilla por tormentas para Montevideo, Canelones y parte de Maldonado",El Inumet advirtió sobr e la posibilidad de que se r egistr en “lluvias intensas” y actividad eléctrica.,Admin,16/6/2020,18,"1,10%",,DOCUMENT
,eventos meteorológicos,tormenta,, Advertencia de Nivel Amarillo para 12 departamentos por vientos fuertes y persistentes,"Amarillo por persistencia de tormentas y lluvias, que estar á vigente hasta las 23:15 del jue ves.",Admin,16/6/2020,18,"1,80%",,DOCUMENT
,eventos meteorológicos,lluvia,, Advertencia de Nivel Amarillo para 12 departamentos por vientos fuertes y persistentes,"Amarillo por persistencia de tormentas y lluvias, que estar á vigente hasta las 23:15 del jue ves.",Admin,16/6/2020,18,"1,80%",,DOCUMENT
,eventos meteorológicos,tormenta,, Advertencia meteorológica de distintos niveles para buena parte del país por tormentas fuertes,? https://www .montevideo.com.uy/Noticias/Advertencia-meteorologica-de-distintos-niveles-para-buena-parte-del-pais-por-tormentas-fuertes-uc693 … 1 / 12,Admin,16/6/2020,22,"1,90%",,DOCUMENT
,eventos meteorológicos,lluvia,, Advertencia meteorológica de distintos niveles para buena parte del país por tormentas fuertes,"Debido a una perturbación atmosférica asociada a masa de air e húmeda e inestable que afecta el país, pueden gener arse tormentas, algunas puntualmente fuertes. En zonas de tormentas se podr án r egistr ar lluvias intensas en cortos períodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes.",Admin,16/6/2020,56,"4,80%",,DOCUMENT
,eventos meteorológicos,viento,, Advertencia meteorológica de distintos niveles para buena parte del país por tormentas fuertes,"Debido a una perturbación atmosférica asociada a masa de air e húmeda e inestable que afecta el país, pueden gener arse tormentas, algunas puntualmente fuertes. En zonas de tormentas se podr án r egistr ar lluvias intensas en cortos períodos de tiempo, ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes.",Admin,16/6/2020,56,"4,80%",,DOCUMENT
,eventos meteorológicos,tormenta,, Advertencia naranja para 12 departamentos del país,"La situación se debe a que una perturbación atmosférica asociada a masa de air e húmeda e inestable, gener ando pr ecipitaciones y tormentas fuertes algunas puntualmente se ver as.",Admin,16/6/2020,30,"2,80%",,DOCUMENT
,eventos meteorológicos,viento,, Advertencia naranja para 12 departamentos del país,"En zonas de tormentas se podr án r egistr ar caída de gr anizo, intensa actividad eléctrica y r achas de viento muy fuertes.",Admin,16/6/2020,24,"2,30%",,DOCUMENT
,eventos meteorológicos,tormenta,, Advertencia naranja para el suroeste por tormentas y amarilla para varios departamentos,? https://www .montevideo.com.uy/Noticias/Advertencia-naranja-para-el-suroeste-por-tormentas-y-amarilla-para-varios-departamentos-uc696124 1 / 1 1,Admin,16/6/2020,22,"1,90%",,DOCUMENT
,eventos meteorológicos,lluvia,, Advertencia naranja para el suroeste por tormentas y amarilla para varios departamentos,"Se esper an tormentas puntualmente fuertes con lluvias intensas en cortos períodos de tiempo, caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes.",Admin,16/6/2020,27,"2,40%",,DOCUMENT
,eventos meteorológicos,viento,, Advertencia naranja para el suroeste por tormentas y amarilla para varios departamentos,"Se esper an tormentas puntualmente fuertes con lluvias intensas en cortos períodos de tiempo, caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes.",Admin,16/6/2020,27,"2,40%",,DOCUMENT
,eventos meteorológicos,tormenta,, Advertencia naranja se restringe a tres departamentos del norte del país,"El Instituto Nacional de Meteor ología r edujo la advertencia nar anja a tr es departamentos del norte, por tormentas y vientos fuertes.",Admin,16/6/2020,23,"2,40%",,DOCUMENT
