,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,Actores,Intendencia,, A raíz de la tormenta se registraron inundaciones en Montevideo - ECOS UY,Intendencia de Montevideo,Admin,26/4/2020,3,"1,20%",,DOCUMENT
,respuestas,soluciones ciudad,, A raíz de la tormenta se registraron inundaciones en Montevideo - ECOS UY,Intendencia de Montevideo,Admin,26/4/2020,3,"1,20%",,DOCUMENT
,respuestas,soluciones ciudad,, A raíz de la tormenta se registraron inundaciones en Montevideo - ECOS UY,"""En este momento tenemos trabajando más que nada a la gente de arbolado"", comentó. También informó que ""por suerte"" no tiene noticias de evacuados.",Admin,26/4/2020,24,"9,90%",,DOCUMENT
,eventos meteorológicos,lluvia,, Alerta amarilla por lluvias y tormentas afecta 6 departamentos - ECOS UY,"""Cabe destacar que en zonas de tormentas se podrán registrar lluvias intensas en cortos períodos, ocasional caída de granizo, intensa actividad eléctrica y rachas de viento fuertes"", informó Inumet",Admin,26/4/2020,29,"13,60%",,DOCUMENT
,eventos meteorológicos,tormenta,, Alerta amarilla por lluvias y tormentas afecta 6 departamentos - ECOS UY,"""Cabe destacar que en zonas de tormentas se podrán registrar lluvias intensas en cortos períodos, ocasional caída de granizo, intensa actividad eléctrica y rachas de viento fuertes"", informó Inumet.",Admin,26/4/2020,29,"13,60%",,DOCUMENT
,eventos meteorológicos,viento,, Alerta amarilla por lluvias y tormentas afecta 6 departamentos - ECOS UY,"""Cabe destacar que en zonas de tormentas se podrán registrar lluvias intensas en cortos períodos, ocasional caída de granizo, intensa actividad eléctrica y rachas de viento fuertes"", informó Inumet.",Admin,26/4/2020,29,"13,60%",,DOCUMENT
,eventos meteorológicos,viento,, Alerta amarilla por lluvias y tormentas afecta siete departamentos - ECOS UY,"Tormentas aisladas y persistencia de lluvias, en forma intensa por periodos cortos de tiempo, con posible actividad eléctrica y rachas de viento fuertes, pronostica el Instituto Uruguayo de Meteorología para la mañana de este viernes con una alerta amarilla en siete departamentos del país",Admin,26/4/2020,44,"17,90%",,DOCUMENT
,eventos meteorológicos,tormenta,, Alerta amarilla por lluvias y tormentas afecta siete departamentos - ECOS UY,"Tormentas aisladas y persistencia de lluvias, en forma intensa por periodos cortos de tiempo, con posible actividad eléctrica y rachas de viento fuertes, pronostica el Instituto Uruguayo de Meteorología para la mañana de este viernes con una alerta amarilla en siete departamentos del país.",Admin,26/4/2020,44,"17,90%",,DOCUMENT
,eventos meteorológicos,lluvia,, Alerta amarilla por lluvias y tormentas afecta siete departamentos - ECOS UY,"Tormentas aisladas y persistencia de lluvias, en forma intensa por periodos cortos de tiempo, con posible actividad eléctrica y rachas de viento fuertes, pronostica el Instituto Uruguayo de Meteorología para la mañana de este viernes con una alerta amarilla en siete departamentos del país.",Admin,26/4/2020,44,"17,90%",,DOCUMENT
,eventos meteorológicos,lluvia,, Alerta amarilla por vientos fuertes para nueve departamentos - ECOS UY,"""precipitaciones y tormentas"" y ""rachas fuertes"" de viento asociadas a las tormentas.",Admin,26/4/2020,12,"7,10%",,DOCUMENT
,eventos meteorológicos,viento,, Alerta amarilla por vientos fuertes para nueve departamentos - ECOS UY,"""precipitaciones y tormentas"" y ""rachas fuertes"" de viento asociadas a las tormentas.",Admin,26/4/2020,12,"7,10%",,DOCUMENT
,Actores,Ejército,, Bayardi destacó labor del Ejército para asistir a los de evacuados - ECOS UY,? asistir a los de evacuados,Admin,26/4/2020,5,"2,20%",,DOCUMENT
,respuestas,ayuda damnificados,, Bayardi destacó labor del Ejército para asistir a los de evacuados - ECOS UY,? asistir a los de evacuados,Admin,26/4/2020,5,"2,20%",,DOCUMENT
,Actores,Ejército,, Bayardi destacó labor del Ejército para asistir a los de evacuados - ECOS UY,"Bayardi destacó labor del Ejército para asistir a los de evacuados - ECOS UY emergencia"", dijo el secretario de Estado.",Admin,26/4/2020,19,"8,40%",,DOCUMENT
,respuestas,ayuda damnificados,, Bayardi destacó labor del Ejército para asistir a los de evacuados - ECOS UY,"El ministro de Defensa, José Bayardi, destacó este miércoles el papel que está jugando el Ejército en la ayuda a los evacuados a causa de las inundaciones que afectan varios departamentos.",Admin,26/4/2020,31,"13,70%",,DOCUMENT
,Actores,Ejército,, Bayardi destacó labor del Ejército para asistir a los de evacuados - ECOS UY,"El ministro de Defensa, José Bayardi, destacó este miércoles el papel que está jugando el Ejército en la ayuda a los evacuados a causa de las inundaciones que afectan varios departamentos.",Admin,26/4/2020,31,"13,70%",,DOCUMENT
,Actores,Ejército,, Bayardi destacó labor del Ejército para asistir a los de evacuados - ECOS UY,Bayardi durante su visita a un campamento de evacuados instalado en el departamento de Durazno.,Admin,26/4/2020,15,"6,60%",,DOCUMENT
,respuestas,ayuda damnificados,, Bayardi destacó labor del Ejército para asistir a los de evacuados - ECOS UY,Bayardi durante su visita a un campamento de evacuados instalado en el departamento de Durazno.,Admin,26/4/2020,15,"6,60%",,DOCUMENT
,respuestas,ayuda damnificados,, Bayardi destacó labor del Ejército para asistir a los de evacuados - ECOS UY,"En este sentido, el ministro, que también concurrió al lugar junto al comandante en Jefe del Ejército, Claudio Feola, destacó que las Fuerzas Armadas han consolidado ""un nivel de experiencia"" y capacidad que les permite afrontar estos hechos de buena manera.",Admin,26/4/2020,41,"18,10%",,DOCUMENT
,Actores,Ejército,, Bayardi destacó labor del Ejército para asistir a los de evacuados - ECOS UY,"En este sentido, el ministro, que también concurrió al lugar junto al comandante en Jefe del Ejército, Claudio Feola, destacó que las Fuerzas Armadas han consolidado ""un nivel de experiencia"" y capacidad que les permite afrontar estos hechos de buena manera.",Admin,26/4/2020,41,"18,10%",,DOCUMENT
,efectos,inundación,, Cerca de 3.000 personas evacuadas de sus hogares por inundaciones - ECOS UY,El Sistema Nacional de Emergencia (Sinae) presentó las cifras oficiales sobre las personas desplazadas en todo el país afectadas por las inundaciones producto de las abundantes lluvias registradas en los últimos días,Admin,26/4/2020,32,"13,60%",,DOCUMENT
,eventos meteorológicos,lluvia,, Cerca de 3.000 personas evacuadas de sus hogares por inundaciones - ECOS UY,El Sistema Nacional de Emergencia (Sinae) presentó las cifras oficiales sobre las personas desplazadas en todo el país afectadas por las inundaciones producto de las abundantes lluvias registradas en los últimos días.,Admin,26/4/2020,32,"13,60%",,DOCUMENT
,efectos,evacuados,, Cerca de 3.000 personas evacuadas de sus hogares por inundaciones - ECOS UY,El Sistema Nacional de Emergencia (Sinae) presentó las cifras oficiales sobre las personas desplazadas en todo el país afectadas por las inundaciones producto de las abundantes lluvias registradas en los últimos días.,Admin,26/4/2020,32,"13,60%",,DOCUMENT
,efectos,evacuados,, Cerca de 3.000 personas evacuadas de sus hogares por inundaciones - ECOS UY,Florida es el departamento en el que se registran más desplazados son un total de 1.150 personas (150 evacuados y 1.000 autoevacuados). Luego le sigue,Admin,26/4/2020,27,"11,50%",,DOCUMENT
,efectos,inundación,, Cerca de 3.000 personas evacuadas de sus hogares por inundaciones - ECOS UY,Florida es el departamento en el que se registran más desplazados son un total de 1.150 personas (150 evacuados y 1.000 autoevacuados). Luego le sigue,Admin,26/4/2020,27,"11,50%",,DOCUMENT
,efectos,evacuados,, Cerca de 3.000 personas evacuadas de sus hogares por inundaciones - ECOS UY,"La lista la completan Canelones con 223 (121 y 102), San José con 180 evacuados, Soriano con 24 desplazados (13 y 11), 8 evacuados en Montevideo, 8 autoevacuados en Flores, 10 evacuados en Maldonado y uno en Río Negro.",Admin,26/4/2020,39,"16,60%",,DOCUMENT
,efectos,inundación,, Cerca de 3.000 personas evacuadas de sus hogares por inundaciones - ECOS UY,"La lista la completan Canelones con 223 (121 y 102), San José con 180 evacuados, Soriano con 24 desplazados (13 y 11), 8 evacuados en Montevideo, 8 autoevacuados en Flores, 10 evacuados en Maldonado y uno en Río Negro.",Admin,26/4/2020,39,"16,60%",,DOCUMENT
,efectos,evacuados,, Cerca de 3.000 personas evacuadas de sus hogares por inundaciones - ECOS UY,"Por ejemplo, en el departamento de Durazno la cifra no llega a 1.000, pero se cree que son cerca de 2.000 los desplazados. Algo similar sucede en Florida donde la cifra se duplicaría.",Admin,26/4/2020,35,"14,90%",,DOCUMENT
,efectos,inundación,, Cerca de 3.000 personas evacuadas de sus hogares por inundaciones - ECOS UY,"Por ejemplo, en el departamento de Durazno la cifra no llega a 1.000, pero se cree que son cerca de 2.000 los desplazados. Algo similar sucede en Florida donde la cifra se duplicaría.",Admin,26/4/2020,35,"14,90%",,DOCUMENT
,efectos,evacuados,, Desplazados en todo el país por las crecidas descienden a 8.752 - ECOS UY,"Desplazados en todo el país por las crecidas descienden a 8.752 - ECOS UY 6.900. Canelones, Soriano y Florida están en situación difícil.",Admin,26/4/2020,24,"14,90%",,DOCUMENT
,efectos,inundación,, Desplazados en todo el país por las crecidas descienden a 8.752 - ECOS UY,"Desplazados en todo el país por las crecidas descienden a 8.752 - ECOS UY 6.900. Canelones, Soriano y Florida están en situación difícil.",Admin,26/4/2020,24,"14,90%",,DOCUMENT
,Actores,SINAE,, Desplazados en todo el país por las crecidas descienden a 8.752 - ECOS UY,"Nacional de Emergencia (Sinae) en su página web. En Treinta y Tres, Río Negro y Flores los desplazados ya volvieron a sus hogares.",Admin,26/4/2020,23,"14,30%",,DOCUMENT
