,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,enfermedades,dengue,, Análisis descartaron caso autóctono de dengue,?Análisis descartaron caso autóctono de dengue,Admin,14/7/2020,6,"1,8%",,DOCUMENT
,enfermedades,zica,," Ancap dona repelente para combatir propagación de dengue, zika y chikungunya","?Ancap dona repelente para combatir propagación de dengue, zika y chikungunya",Admin,14/7/2020,11,"2,3%",,DOCUMENT
,enfermedades,dengue,," Ancap dona repelente para combatir propagación de dengue, zika y chikungunya","?Ancap dona repelente para combatir propagación de dengue, zika y chikungunya",Admin,14/7/2020,11,"2,3%",,DOCUMENT
,enfermedades,zica,, Basso confirmó primer caso de zika en Uruguay,?Basso confirmó primer caso de zika en Uruguay,Admin,14/7/2020,8,"2,4%",,DOCUMENT
,enfermedades,dengue,, Casos de dengue autóctono aumentaron a nueve,?Casos de dengue autóctono aumentaron a nueve,Admin,14/7/2020,7,"1,6%",,DOCUMENT
,enfermedades,dengue,," Comenzó año lectivo en UTU y Secundaria, con recomendaciones sobre el dengue","?Comenzó año lectivo en UTU y Secundaria, con recomendaciones sobre el dengue",Admin,14/7/2020,12,"3,2%",,DOCUMENT
,enfermedades,dengue,, Confirmado primer caso de dengue autóctono en Uruguay,?Confirmado primer caso de dengue autóctono en,Admin,14/7/2020,7,"1,7%",,DOCUMENT
,enfermedades,dengue,, Confirman primer caso de dengue en Canelones,?Confirman primer caso de dengue en Canelones,Admin,14/7/2020,7,"2,6%",,DOCUMENT
,enfermedades,dengue,," Dengue_ Uruguay “tiene un riesgo de introducción real del virus”, recuerdan desde el MSP","?Dengue: Uruguay “tiene un riesgo de introducción real del virus”, recuerdan desde el MSP",Admin,14/7/2020,14,"4,0%",,DOCUMENT
,enfermedades,hantavirus,," Dengue_ Uruguay “tiene un riesgo de introducción real del virus”, recuerdan desde el MSP",tratamiento experimentado en ratones logra acabar con el párkinson,Admin,14/7/2020,9,"2,6%",,DOCUMENT
,enfermedades,dengue,, En Maldonado se confirmaron dos casos de dengue y se estudian otros cinco,?En Maldonado se confirmaron dos casos de dengue y se estudian otros cinco,Admin,14/7/2020,13,"3,3%",,DOCUMENT
,enfermedades,dengue,," En Uruguay hay dos serotipos de dengue, revela informe","?En Uruguay hay dos serotipos de dengue, revela informe",Admin,14/7/2020,9,"2,8%",,DOCUMENT
,enfermedades,dengue,, Gobierno confirmó nuevo caso de dengue autóctono_ fue en Pocitos,?Gobierno confirmó nuevo caso de dengue autóctono: fue en Pocitos,Admin,14/7/2020,10,"2,1%",,DOCUMENT
,enfermedades,dengue,, Hay alto riesgo de que se registren casos de dengue autóctono en verano_ recomendaciones,?Hay alto riesgo de que se registren casos de dengue autóctono en verano: recomendaciones,Admin,14/7/2020,14,"3,7%",,DOCUMENT
,enfermedades,hantavirus,, Hay alto riesgo de que se registren casos de dengue autóctono en verano_ recomendaciones,tratamiento experimentado en ratones logra acabar con el párkinson,Admin,14/7/2020,9,"2,4%",,DOCUMENT
,enfermedades,zica,, Hay cuatro casos importados de zika en Uruguay y dos de dengue,?Hay cuatro casos importados de zika en Uruguay y dos de dengue,Admin,14/7/2020,12,"3,3%",,DOCUMENT
,enfermedades,dengue,, Hay cuatro casos importados de zika en Uruguay y dos de dengue,?Hay cuatro casos importados de zika en Uruguay y dos de dengue,Admin,14/7/2020,12,"3,3%",,DOCUMENT
