,CATEGORIA,CODIGO,TEXTO
0,eventos meteorológicos,lluvia,"Má s   de   6 0 0   p e r s o n a s   c o n t i n ú a n   e v a c u a d a s   e n   e l   n o r t e   d e l   p a í s   t r a s   l a s intensas lluvias caí das du r a n t e  e l  ? n  d e  s e m a n a .  E n  A r g e n t i n a  s e  h a b l a  d e 15.000 evacuado s a cifra de evacuados sigue siendo muy alta  d e s p u és de las constantes precipitaciones que cayeron sobre los departamentos de Salto, Paysandú ,"
1,eventos meteorológicos,lluvia,"El miedo surge en la medida de que las lluvias no parecen parar, la ropa seca y los alimentos se hacen necesarios para los evacuados que han perdido todas sus pertenencias. El Sistema Nacional de Emergencia se encuentra tr a b a j a n d o  s i n parar para poder solucionar la situació n  d e  c a d a  z o n a  a f e c tada."
2,eventos meteorológicos,lluvia,"SE REGISTRÓ UN TOTAL DE 1212 EVACUADOS  P OR LAS LLUVIAS, EN TOD O EL PAÍ S"
3,eventos meteorológicos,lluvia,"E l   ú l t i m o   b o l e t í n   de   l a   D i r e c c i ó n   N a c i o n a l   d e   M e t e o r o l o g í a   i n d i c a   q u e   e l tiempo se presentó  c a l u r o s o  c o n  c i e l o  a l g o  n u b o s o  y  n u b o s o .  C o n tormentas y lluvias aislada s .  L a  s i t u a c i ón sinó p t i c a  m u e s t r a  u n  b o r d e occide n t a l  de sistema de  a l t a  p r e s i ón que cubre al paí s ,  m i e n t r a s  u n  f r e n t e f r í o   s e   a p r o x i m a   p o r   e l   S W .   T o da v í a   n o   s e   d e s c a r t a n   l a s   t o r m e n t a s   y   h a s t a se habla de  g r a n i z a das."
4,eventos meteorológicos,lluvia,"Por ahora, la zona má s  a f e c t a d a  e s  e l  n o r t e  d e l  p a ís, especí ? c a m e n t e  e l departamento de Paysandú  d o n d e  2 7  p e r s o n a s  tuvieron que ser evacuadas debido, a que el sistema de alcantarillado no pudo absorver el total de las lluvias c a í d a s ."
5,eventos meteorológicos,lluvia,Un frente frí o  q u e  i n g r e s a  desde  h o y  a l  s u r  d e  U r u g u a y  p r o v o c a r á lluvias y tormentas.
6,eventos meteorológicos,lluvia,Esta semana el tiempo se pr esentar á cálido con temper atur as máximas que super ar án los 25ºC per o que no alcanzar án los 30ºC. El cielo se pr esentar á soleado y par cialmente nublado. No se r egistr ar án lluvias dur ante la semana.
7,eventos meteorológicos,lluvia,"El tiempo esta semana se pr esentar a cálido con temper atur as máximas con r ondar án los 30ºC par a sur y norte del país. Las mínimas super ar án los 17ºC. La nubosidad ser á variable, al igual que el r égimen de pr ecipitaciones esper ado par a el país. En el norte, las lluvias comenzar án el día miér coles y continuar án hasta el viernes, mientr as que en el sur las lluvias llegar án el día jue ves. El sábado mejor ar á par cialmente. El total de pr ecipitaciones par a esta semana oscilar á entr e 20 mm y 35 mm en el sur y entr e"
8,eventos meteorológicos,lluvia,"T el: 4001684 - 4028056 / Monte video - Uruguay   Las temper atur as máximas pr omedio par a la semana ser án de 17,6 ºC, mientr as que las mínimas oscilar án en el eje de los 5,4 ºC, no descartándose la posibilidad de e ventuales heladas en algunas zonas del país. Las lluvias comenzar án el día miér coles en el sur del país per o ser án de escasa magnitud. Las mismas arribar án el días jue ves al centr o del territorio y el viernes cubrir án el norte. Se esper an r egistr os importantes del or den de los 35 mm y de hasta 45 mm en algunas r egiones."
9,eventos meteorológicos,lluvia,Se aguar dan lluvias de entidad par a el día sábado que super ar án en algunas zonas los 25 mm. Cubrir án todo el país y se esper a que los mayor es r egistr en se den nue vamente en el litor al oeste.
10,eventos meteorológicos,lluvia,Negr o. Los cielos se pr esentar án soleados y par cialmente nublados. No se pr onostican lluvias en todo el territorio nacional par a esta semana ni tampoco hasta mediados de la sigueinte.
11,eventos meteorológicos,lluvia,"El tiempo esta semana se pr esentar á más templado que la semana anterior con temper atur as que no super ar án los 28ºC. El cielo se pr esentar á par cialmente nublado dur ante toda la semana, per o no se r egistr ar án pr ecipitaciones de inter és agr onómico, apenas chaparr ones coster os. En primer a instancia tampoco se r egistarían lluvias significativas la semana pr ó xima."
12,eventos meteorológicos,lluvia,T el: 4001684 - 4028056 / Monte video - Uruguay   No se r egistr ar án pr ecipitaciones de inter és agr onómico esta semana. Se esper an importantes lluvias  entr e 35 mm y 45 mm  par a la pr ó xima semana en todo el territorio uruguayo.
13,eventos meteorológicos,lluvia,"El tiempo esta semana ser á templado , con temper atur as que aumentar án conforme la semana avance. Las máximas ser án de 22 ºC par a el sur y 25 °C par a el norte. Las lluvias ingr esar án al territorio nacional por el norte el día jue ves y se desplazar án hacia el sur abar cando la totalidad de la superficie el día viernes. Los r egistr os acumulados ser án de entr e 10 mm y 25 mm."
14,eventos meteorológicos,lluvia,"T el: 4001684 - 4028056 / Monte video - Uruguay   El cielo se pr esentar á par cialmente nublado. Los diversas agencia meteor ológicas encuentr an discr epancias en cuanto al r égimen pluviométrico de esta semana. A pesar de ello, se pueden esper ar lluvias aisladas en el nor oeste del país en estas hor as, aunque las mismas no super ar án los 10 mm. Los pr onósticos a 10 días también muestr an ausencias de lluvias, situación que empie za a pr eocupar en diversos sector es del agr o uruguayo."
15,eventos meteorológicos,lluvia,El tiempo esta semana se pr esentar á templado con temper atur as máximas que no super ar án los 30ºC. Se esper an lluvias en todo el territorio par a el día miér coles las cuales oscilar án entr e 20 mm y 25 mm al sur y norte del país r espectivamente.
16,eventos meteorológicos,lluvia,"El tiempo esta semana se pr esentar á templado en el sur con máximos que no alcanzar án los 30ºC y cálido en el norte, donde las máximas temper atur as oscilar án entr e 30ºC y 31ºC. En cuanto a la nubosidad, la misma ser á variable, cubriendo par cialmente el cielo en pr ácticamente todo el territorio. Se r egistr ar án pr ecipitaciones a partir del día miér coles en el litor al oeste. Las mismas llegar án al este el día viernes. El pr omedio de lluvias ser á de 30 mm."
17,eventos meteorológicos,lluvia,"El tiempo en lo que r esta de esta semana se pr esentar á cálido en todo el territorio. Se esper a que las lluvias que se r egistr ar án dur ante el fin de semana en Ar gentina arriben a Uruguay par a comienzos de la semana pr ó xima. Las mismas abar car án la zona oeste del país. Par a comienzos de la semana entr ante, las pr ecipitaciones cubrir án a todo el país. Las mismas ser án del or den de los 30 mm."
18,eventos meteorológicos,lluvia,"Esta semana el tiempo se pr esentar á frío, con temper atur as máximas cer canas a los 20 ºC. Éstas descender án hacia finales de la semana con mínimas que llegar án a los 6 ºC. Se esper an lluvias importantes par a el este y el nor este del país par a el día viernes, que ser án del or den de los 20 mm a 25 mm."
19,eventos meteorológicos,lluvia,"T el: 4001684 - 4028056 / Monte video - Uruguay   El cielo se pr esentar á soleado y par cialmente nublado. No se pr onostican lluvias de inter és agr onómico en todo el país lo que a esta altur a, sobr e todo debido a las ele vadas temper atur as acaecidas dur ante la semana anterior, comienza a pr eocupar a los agricultor es de todo el país. A partir del domingo se esper an algunas lluvias de entidad en el litor al oeste que r ondar án entr e 10 mm y 20 mm."
20,eventos meteorológicos,lluvia,"T el: 4001684 - 4028056 / Monte video - Uruguay   El miér coles habr á lluvias importantes en Ar gentina, per o que en su mayoría se disipan antes de ingr esar a Uruguay. Las mayor es posibilidades de pr ecipitaciones son en el norte del país, entr e jue ves y viernes. Los días ser án, como hasta ahor a, mayormente soleados y con ele vadas temper atur as par a la época, aunque el miér coles estar á mayormente nublado."
21,eventos meteorológicos,lluvia,"T el: 4001684 - 4028056 / Monte video - Uruguay   Las máximas y mínimas pr omedio par a el sur del país ser án de 14 ºC y 8 ºC r espectivamente, mientr as que en el norte los r egistr os térmicos par a ambas puntas ser án de 16 ºC y de 6ºC. Se esper an importante lluvias en todo el país, que ingr esar án por el norte el día jue ves, gener alizándose a todo el país par a el viernes, mientr as que dur ante la jornada del día sábado las pr ecipitaciones se desplazar án hacia la r egión este del país. El pr omedio de lluvias ser á de 25 mm par a todo el territorio, aunque el nor este r egistr ar á mayor es tenor es de agua que super ar án los 45 mm."
22,eventos meteorológicos,lluvia,El tiempo esta semana se pr esentar á templado con temper atur as máximas que no super ar án los 25ºC y mínimasd que pueden situarse por debajo de los 10ºC. La nubosidad se pr esentar á variable dur ante la semana. Esta semana no se r egistr ar án lluvias de entidad en el terrir orio nacional. Se esper an pr ecipitaciones de inter és agr onómico r ecién la par a la semana entr ante.
23,eventos meteorológicos,lluvia,"Esta semana el tiempo se pr esentar á cálido en el sur y norte del país con nubosidades variables. Las máximas temper atur as al sur de Río Negr o oscilar án entr e 28ºC y 31ºC, mientr as que en el norte r ondar án los 32ºC. No se pr e vén pr ecipitaciones de entidad dur ante esta semana e x ceptuando algunos chaparr ones en el centr o del país el día sábado que no super ar án los 11 mm. Se esper an lluvias de mayor entidad par a la semana pr ó xima."
24,eventos meteorológicos,lluvia,"Para la jornada de hoy se esperan lluvias con volú m e n e s  p u n t u a l e s  e n t r e  8 0  y  1 0 0 mm., así  c o m o  l a  f o r m a c i ón de tormentas dispersas con algunas rachas ocasionalmente muy fuertes (50 - 65 km/h)."
25,eventos meteorológicos,lluvia,"La nubosidad ser á variable dur ante la semana, aumentando desde el miér coles. Cabe la posibilidad de escasas pr ecipitaciones entr e miér coles y jue ves al sur del país per o no todos los pr onósticos afirman la ocurr encia de lluvias. Éstas se aguar dan r ecién par a la semana pr ó xima en todo el país, siendo más importantes par a el sudoeste del territorio."
26,eventos meteorológicos,lluvia,"La nubosidad ser á variable dur ante la semana, disminuyendo hacia fines de la semana en el sur, mientr as que par a el norte, se esper an cielos cubiertos par a el viernes. Se esper an pr ecipitaciones de entidad hacia el fin de semana y también en la pr ó xima, aunque los pr onósticos mantienen difer encias. Las lluvias cubrir án todo el territorio y oscilar án entr e 20 mm y 30 mm. Al igual que la semana r ecién finalizada, los r egistr os pluviométricos ser án más importantes en el sudoeste del país."
27,eventos meteorológicos,lluvia,"T el: 4001684 - 4028056 / Monte video - Uruguay   En este sentido, se esper an par a el martes y miér coles lluvias de entidad (hasta 50 mm) par a toda la r egión sur y centr o de Uruguay, mejor ando par a fines de la semana aunque con descensos mar cados de la temper atur a."
28,eventos meteorológicos,lluvia,Continuar án las lluvias esta semana en todo el país. Estás comenzar án el miér coles y tendr án mayor intensidad en la r egión centr o norte y centr o sur. Los r egistr os par a este día pueden alcanzar los 30 mm a 25 mm. El jue ves las mismas se gener alizar án y tendr án mayor magnitud en la r egión sudoeste y oeste del país. Los r egistr os pueden alcanzar los 30 mm.
29,eventos meteorológicos,lluvia,"El tiempo esta semana seguir á frío y se pr e vén heladas par a algunas r egiones del país. El sur pr esentar á mínimas que oscilar án entr e 4 ºC y 6 ºC, mientr as que el norte tendr á r egistr os mínimos entr e 3 ºC y 7 ºC. Los pr onósticos de pr ecipitaciones son variables par a esta semana. Igualmente, no se esper an lluvias de entidad agr onómica."
30,eventos meteorológicos,lluvia,Las ansiadas lluvias estarían llegando mañana martes y cubrirían todo el país. Los r egistr os oscilar án entr e 35 mm y 50 mm. Las pr ecipitaciones ser án más intensas en el Centr o del país.
31,eventos meteorológicos,lluvia,"Las lluvias vuelven al centr o y sur del país mañanna martes y no super ar án los 20 mm, per o no se descartan pequeños r egistr os en el r esto del territorio uruguayo. T r as despejar el miér coles, las lluvias volverían el martes de la semana pr ó xima.  Los r egistr os térmicos pr omedio par a todo el país que oscilar án entr e 15 ºC y 20 ºC."
32,eventos meteorológicos,lluvia,"Se pr e vén lluvias muy importante en todo el país, per o especialmente en la r egión Norte del mismo en donde los r egistr os pueden ser de hasta 150 mm."
33,eventos meteorológicos,lluvia,"V uelven las lluvias al país, per o ser án br e ves. Éstas entr ar án al país por el Oeste, mañana martes de noche. Las mismas ser án de entidad y alcanzar án los 50 mm en algunas zonas del litor al sur. Par a el fin de semana se esper an cielos despejados. Par a la semana pr ó xima no se pr onostican lluvias.  Los r egistr os térmicos ser án más cálidos esta semana tomando en consider ación la anterior. En pr omedio par a todo el país los r egistr os térmicos oscilar án entr e 20 ºC y 25ºC."
34,eventos meteorológicos,lluvia,Se pr e vén lluvias al sur del territorio dur ante el tr anscurso de la semana. Las mismas oscilar án entr e 10 y 20 mm y ser án de menor entidad en el centr o del país.
35,eventos meteorológicos,lluvia,"Par a la semana entr ante tampoco se estarían r egistr ando lluvias, en tanto que las temper atur as ser án un poco mayor es en todo el país y oscilar án entr e 15 ºC y 20 ºC."
36,eventos meteorológicos,lluvia,"Los r egistr os pluviométrticos de esta semana ingr esar án por el sudoeste el día sábado, e xtendiéndose al centr o del país en el corr er del día. Las lluvias no serían muy abundantes."
37,eventos meteorológicos,lluvia,"Ex cepción hecha de algunos chaparr ones que se esper an par a la noche del viernes y que no cubrir án todo el país, las lluvias no arribarían a Uruguay hasta la semana pr ó xima, en la que se esper an pr ecipitaciones que oscilar án entr e los 35 y 50 mm. Las temper atur as pr omedio esta semana oscilar án entr e 15 ºC y 20 ºC. La semana pr ó xima, las mismas ser án un poco inferior es y variar án entr e 10 ºC Y 20 ºC."
38,eventos meteorológicos,lluvia,"Esta semana volver án a caer lluvias de entidad. Las mismas entr ar án el martes de noche por el litor al oeste y cubrir án todo el territorio hasta el jue ves inclusive, aunque el viernes pueden r egistr arse algunas pr ecipitaciones aisladas. Se pueden esper ar r egistr os arriba de 50 mm en varias localidades del país. Las lluvias continuar án la semana pr ó xima y según los informes climáticos también ser án de entidad. El miér coles se esper a un tempor al con vientos fuertes del sur y sur este."
39,eventos meteorológicos,lluvia,"Esta semana continuar án las lluvias en todo el territorio, a pesar de que las mismas ser án de menor entidad que la semana anterior."
40,eventos meteorológicos,lluvia,V uelven las lluvias al país luego de dos semanas sin r egistr os de importancia.
41,eventos meteorológicos,lluvia,"No están pr e vistas lluvias hasta el pr ó ximo fin de semana en todo el territorio uruguayo, en tanto que las temper atur as ir án gr adualmente en ascenso luego de los intensos fríos del fin de semana."
42,eventos meteorológicos,lluvia,"Las lluvias, que comenzar on el domingo de tar de, continuar án desplazándose hacia el centr o y oeste del territorio e ir án cobr ando mayor intensidad. Se esper an r egistr os par a mañana martes del or den de los 20 mm."
43,eventos meteorológicos,lluvia,"Las lluvias volver án a todo el territorio par a el fin de semana, par a cuando se aguar dan r egistr os del or den de los 30 mm en los departamentos norteños. Al sur y oeste las pr ecipitaciones oscilar án en el eje de los 11 mm. En el"
44,eventos meteorológicos,lluvia,"Las lluvias volver án el jue ves en todo el territorio, aunque las mismas ser án de mayor magnitud al Centr o; se esper an r egistr os de entr e 60 y 80 mm."
45,eventos meteorológicos,lluvia,"Esta semana no pr esentar á pr ecipitaciones de entidad, aunque pueden esper arse lluvias de escasa entidad en el nor este del país, las que se supone no ser án de más de 10 mm."
46,eventos meteorológicos,lluvia,"Esta semana no se esper an pr ecipitaciones en todo el territorio, en tanto que el pr onóstico a 10 días tampoco estaría indicando lluvias. Continúan los temor es de los arr ocer os que no se vier on beneficiados por las pr ecipitaciones acaecidas dur ante la semana r ecién culminada.  Las temper atur as pr omedio de esta semana oscilar án entr e los 10ºC y los 15ºC."
47,eventos meteorológicos,lluvia,"El tiempo esta semana pr esentar á lluvias en la r egión centr o, las que llegar án el día miér coles o jue ves, siendo más importantes al Norte del Río Negr o. En esta zona los r egistr os oscilar án entr e 17 mm y 20 mm. Las lluvias ser án menor es y casi ine xistentes en el litor al oeste y en la r egión Este.  Las temper atur as par a esta semana ser án superior es a lo normal y oscilar án entr e 10 ºC y 15 ºC en pr omedio."
48,eventos meteorológicos,lluvia,"No se esper an lluvias par a esta semana y se pr e vé que las mismas vuelvan r ecién la semana entr ante. Los pr onósticos estiman que las pr ecipitaciones de la semana entr ante sean muy abundantes, en el entorno de los 60 mm en el Sudoeste del país y de 35 mm al norte del Río Negr o."
49,eventos meteorológicos,lluvia,"Esta semana se esper an lluvias de entidad en pr ácticamente todo el territorio, las que se esper a aporten algo de tr anquilidad a la delicada situación de los arr ocer os."
50,eventos meteorológicos,lluvia,No se r egistr ar án lluvias esta semana y tampoco se esper an r egistr os par a la semana entr ante. La situación ya es pr eocupante en las zonas arr ocer as y empie za a pr eocupar en casi todo el país. Por ahor a sin lluvias hasta el 20 de agosto por lo menos.
51,eventos meteorológicos,lluvia,"T el: 4001684 - 4028056 / Monte video - Uruguay   Sin embar go, las lluvias volver án a todo el territorio la semana entr ante con r egistr os más importante; los datos pr eliminar es pr o yectan pr ecipitaciones de entr e 35 mm y 45mm."
