,CATEGORIA,CODIGO,TEXTO
0,eventos meteorológicos,ola de calor,?LLUVIAS Y CALOR ESTA SEMAN
1,eventos meteorológicos,ola de calor,?DEL CALOR A LAS LLUVIAS
2,eventos meteorológicos,ola de calor,"DEL CALOR A LAS LLUVIAS 3.965 uruguayos regresaron por la operación “Todos en casa”, que inicia una nueva fase"
3,eventos meteorológicos,ola de calor,?MÁS CALOR Y TORMENTAS EN LOS PRÓXIMOS DÍAS
4,eventos meteorológicos,ola de calor,?OLA DE CALOR HASTA EL 10 DE ENERO
5,eventos meteorológicos,ola de calor,?Recomendaciones ante la ola de calor
6,eventos meteorológicos,ola de calor,?Calor y probables lluvias
7,eventos meteorológicos,ola de calor,?Dos muertos por calor
8,eventos meteorológicos,ola de calor,?Anuncian aumento de temperatura y tormentas
9,eventos meteorológicos,ola de calor,?Advertencia naranja por ola de calor
10,eventos meteorológicos,ola de calor,?Continuará la ola de calor
11,eventos meteorológicos,ola de calor,?Alerta por calor y tormentas
12,eventos meteorológicos,ola de calor,?Advertencia por ola de calor
13,eventos meteorológicos,ola de calor,Ola de calor
14,eventos meteorológicos,ola de calor,El Instituto Uruguayo de Meteor ología emitió una advertencia par a todo el país entr e el mediodía del domingo y el mediodía del miér coles por una intensa ola de calor que afectar á al país.
15,eventos meteorológicos,ola de calor,"Este domingo la temper atur a ir á en ascenso y llegar á a 35º en la capital, anuncian tormentas se ver as y lluvias dispersas."
16,eventos meteorológicos,ola de calor,La ola de calor r egistr ada en los últimos días pr o vocó que este lunes se dier a un pico de consumo de ener gía eléctrica en los hogar es uruguayos.
17,eventos meteorológicos,ola de calor,"Después de la ola de calor y las lluvias, se vienen los días frescos - ECOS UY un importante descenso de la temperatura."
18,eventos meteorológicos,ola de calor,? para sobrevivir ola de calor
19,eventos meteorológicos,ola de calor,"La ola de calor se mantendrá hasta el viernes y las altas temperaturas, que llegaron a los 34 grados en el norte y a los 31 en el sur, hicieron que los servicios públicos tuvieron sus picos de actividad."
20,eventos meteorológicos,ola de calor,Ola de calor con máximas entre 33 y 37 grados - ECOS UY con sensaciones térmicas superiores.
