,CATEGORIA,CODIGO,TEXTO
0,eventos meteorológicos,ola de frío,La explicació n  c i e n t í?ca del fenó m e n o  s e  d e b e  a  q u e  p o r  e l  t e r r i t o r i o  u r u g u a y o esta circulando un sistema de alta presió n  d e  trayectoria continental con vientos suaves cuyas caracterí s t i c a s  s o n  b u e n  t i e m p o  y  d e s c e n s o s  d e  l a  t e m p e r a t u r a  e n  l a noche.
1,eventos meteorológicos,ola de frío,Persistirá n  vientos del Oeste al Sudoeste arrachados entr e  5 0  y  7 0  k m / h .  e n  z o n a s
2,eventos meteorológicos,ola de frío,"Las temper atur as ser án mayor es a las e xperimentadas a fines de la semana anterior, aunque no se descartan una nue va ola de frío a partir del jue ves."
3,eventos meteorológicos,ola de frío,FRÍO Y VIENTO
4,eventos meteorológicos,ola de frío,FUERTES VIENTOS Y MUCHO FRÍO
5,eventos meteorológicos,ola de frío,?FRÍO Y LLUVIAS
6,eventos meteorológicos,ola de frío,?PRONÓSTICO CON LLUVIAS Y FRÍO
7,eventos meteorológicos,ola de frío,?CONTINÚAN LAS LLUVIAS Y EL FRÍO
8,eventos meteorológicos,ola de frío,MÁS LLUVIAS Y DESCENSO DE TEMPERATURA
9,eventos meteorológicos,ola de frío,?PRONOSTICAN LLUVIAS Y FRÍO
10,eventos meteorológicos,ola de frío,?Advertencia de lluvias y frío para el 27 y 28 de agosto
11,eventos meteorológicos,ola de frío,?Pronóstico con frío y lluvias
12,eventos meteorológicos,ola de frío,"AdemÃ¡s, se anunciÃ³ descenso de temperatura en la zona sur, con cielo nuboso y cubierto con precipitaciones dispersas y algunas tormentas en frontera noreste principalmente."
13,eventos meteorológicos,ola de frío,"El martes estarÃ¡ muy frÃo a fresco con cielo algo nuboso, perÃodos de claro y heladas agrometeorolÃ³gicas. Este dÃa hay que tener especial cuidado con el frÃo, ya que se prevÃ© una mÃnima de 5 grados con sensaciones tÃ©rmicas que pueden ser menores, ya que los vientos serÃ¡n moderados y algo fuertes."
14,eventos meteorológicos,ola de frío,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 4
15,eventos meteorológicos,ola de frío,?Meteorología: frío y lluvias para el fin de semana
16,eventos meteorológicos,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
17,eventos meteorológicos,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
18,eventos meteorológicos,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
19,eventos meteorológicos,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
20,eventos meteorológicos,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
21,eventos meteorológicos,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
22,eventos meteorológicos,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
23,eventos meteorológicos,ola de frío,Pou participó del acto por el 209 aniversario del Ejércit
24,eventos meteorológicos,ola de frío,?Nueva alerta Amarilla por frío y lluvias
25,eventos meteorológicos,ola de frío,Pou participó del acto por el 209 aniversario del Ejército
26,eventos meteorológicos,ola de frío,?Tormentas intensas y frío el fin de semana
27,eventos meteorológicos,ola de frío,"Dur ante el invierno funciona un Centr o Nocturno de Contingencia, con 50 plazas e xtr a par a atender la mayor demanda r egistr ada dur ante los días de más frío. En caso de que haya advertencia de nivel nar anja, está pr e visto que todos los r efugios funcionen las 24 hor as."
28,eventos meteorológicos,ola de frío,"Desde el Penitente y Villa Serr ana, usuarios y sitios meteor ológicos r eportar on este fenómeno como nie ve. ""Nie ve me zclada con lluvia cayó en el departamento de Lavalleja. El año pasado, en la gr an ola de frío, la misma ár ea r egistr ó caída de nie ve"", asegur ó el servicio meteor ológico Metsul, de Br asil."
