,CATEGORIA,CODIGO,TEXTO
0,eventos meteorológicos,tormenta,Jinetes en la Tormenta
1,eventos meteorológicos,tormenta,"La tormenta que con diferentes niveles de intensidad afectó  a  t o d o  e l  s u r  d e l  p a ís provocó  u n  c o r t o c i r c u i t o  e n  d o s  l íneas de alta  t e n s i ón de 500 kw que transmiten energí a  d e s d e  l a  r e p r e s a  d e  P a l m a r ,  a  r a íz de la caí d a  d e  u n  r a y o ,  l o  q u e  p r o v o c ó un apagó n  d e  t o d o  e l  s u r  d e l  p a ís, afecta n d o  a  5 0 0  m i l  h o g a r e s  e n  l o s departamentos de Colonia, San José ,  C a n e l o n e s ,  Montevideo, Ma l d o n a d o  y  R o c h a ."
2,eventos meteorológicos,tormenta,"E l   ú l t i m o   b o l e t í n   de   l a   D i r e c c i ó n   N a c i o n a l   d e   M e t e o r o l o g í a   i n d i c a   q u e   e l tiempo se presentó  c a l u r o s o  c o n  c i e l o  a l g o  n u b o s o  y  n u b o s o .  C o n tormentas y lluvias aislada s .  L a  s i t u a c i ón sinó p t i c a  m u e s t r a  u n  b o r d e occide n t a l  de sistema de  a l t a  p r e s i ón que cubre al paí s ,  m i e n t r a s  u n  f r e n t e f r í o   s e   a p r o x i m a   p o r   e l   S W .   T o da v í a   n o   s e   d e s c a r t a n   l a s   t o r m e n t a s   y   h a s t a se habla de  g r a n i z a das."
3,eventos meteorológicos,tormenta,"El Servicio Nacional de  Meteorologí a  e m i t i ó una advertencia meteoroló g i c a para las pró x i m a s  h o r a s  c a r g a da de tormentas de fuerte intensidad, precipitaciones abunda n t e s  c o n  p r o b a b l e s  g r a n i z a d a s  y  r a c h a s  m u y  f u e r t e s de   v i e n t o   a s o c i a do s   a   l a s   t o r m e n t a s ."
4,eventos meteorológicos,tormenta,Un frente frí o  q u e  i n g r e s a  desde  h o y  a l  s u r  d e  U r u g u a y  p r o v o c a r á lluvias y tormentas.
5,eventos meteorológicos,tormenta,"En las ú l t i m a s  h o r a s  e l  c l i m a  s e  p r e s e n t ó fresco con cielo cubierto. Las precipitaciones fueron abundantes y persisten las tormentas. Las temperaturas fueron desde los 13º  a  l o s  1 7 º. La situació n  s i n óptica, presenta una fuerte depresió n  a t m o s f érica que continú a  a f e c tando al paí s .  P a r a  l a s  p r óximas horas se prevé  u n  d e s c e n s o  d e  t e m p e r a t u r a ."
6,eventos meteorológicos,tormenta,Inumet advierte por ingr eso de fr ente frío y tormentas entr e miér coles y jue ves 3
7,eventos meteorológicos,tormenta,Inumet advierte por ingr eso de fr ente frío y tormentas entr e miér coles y jue ves 3
8,eventos meteorológicos,tormenta,"El pronó s t i c o  p a r a  h o y  r e ? e r e  a  u n  c i e l o  n u b o s o  y  c u b i e r t o  c o n  f o r m a c i ón de tormentas y precipitaciones moderadas y abundantes, mejorando desde el suroeste hacia el ?nal del dí a  c o n  d e s c e n s o  d e  t e m p e r a t u r a"
9,eventos meteorológicos,tormenta,"Monte video C OMM / Portal   Con advertencia y todo, meteor ología pr onostica par a ho y un aumento de nubosidad, desmejor ando por el sur oeste con pr ecipitaciones y tormentas puntualmente intensas. Agr ega además  pr obable pr ecipitación de gr anizo ."
