,CATEGORIA,CODIGO,TEXTO
0,eventos meteorológicos,tornado,TURBONADA EN CERRO LARGO
1,eventos meteorológicos,tornado,TURBONADA EN CERRO LARGO
2,eventos meteorológicos,tornado,Ejército Nacional colabora con damnificados por el tornad
3,eventos meteorológicos,tornado,"A su vez, personal del Ejército y Bomberos coopera en las tareas de limpieza."
4,eventos meteorológicos,tornado,"A ocho meses de ese día, aún unas 100 personas siguen viviendo en unos treinta y cinco contenedores de poco más de diez metros cuadrados, algo así como una habitación grande para en algunos casos matrimonios con hijos. “Es complicado vivir ahí, sobre todo con estos calores”, afirmó el jefe municipal. A ellos, aún el Ejército les sigue preparando la comida, que es distribuida por la"
5,eventos meteorológicos,tornado,Intendencia de Soriano (IS).
6,eventos meteorológicos,tornado,"A su vez, personal del Ejército y Bomberos coopera en las tareas de limpieza."
7,eventos meteorológicos,tornado,"El Sistema Nacional de Emergencia (Sinae) emitió esta mañana los datos preliminares del Comité Departamental de Emergencia (CDE), tras el fenómeno meteorológico que afectó principalmente la ciudad de San Carlos, pero también"
8,eventos meteorológicos,tornado,"“Esta situación es como un viento muy fuerte pero desde la vertical a la superficie, no estamos acostumbrados a ver que el viento venga desde arriba, y cuando llega al piso es muy intenso”, dijo Renom."
9,eventos meteorológicos,tornado,"El alcalde de la ciudad, Javier Utermark, aclar ó que los destr o zos no se asemejan a los r egistr ados por el tornado de 2016."
