,CATEGORIA,CODIGO,TEXTO
0,eventos meteorológicos,viento,"La tormenta que con diferentes niveles de intensidad afectó  a  t o d o  e l  s u r  d e l  p a ís provocó  u n  c o r t o c i r c u i t o  e n  d o s  l íneas de alta  t e n s i ón de 500 kw que transmiten energí a  d e s d e  l a  r e p r e s a  d e  P a l m a r ,  a  r a íz de la caí d a  d e  u n  r a y o ,  l o  q u e  p r o v o c ó un apagó n  d e  t o d o  e l  s u r  d e l  p a ís, afecta n d o  a  5 0 0  m i l  h o g a r e s  e n  l o s departamentos de Colonia, San José ,  C a n e l o n e s ,  Montevideo, Ma l d o n a d o  y  R o c h a"
1,eventos meteorológicos,viento,La explicació n  c i e n t í?ca del fenó m e n o  s e  d e b e  a  q u e  p o r  e l  t e r r i t o r i o  u r u g u a y o esta circulando un sistema de alta presió n  d e  trayectoria continental con vientos suaves cuyas caracterí s t i c a s  s o n  b u e n  t i e m p o  y  d e s c e n s o s  d e  l a  t e m p e r a t u r a  e n  l a noche.
2,eventos meteorológicos,viento,Vientos: Del sector Sur moderados y algo fuertes. Rachas fuertes en zonas de tormentas.
3,eventos meteorológicos,viento,"S e g ú n   l a   D i r e c c i ó n   N a c i o n a l   de   M e t e o r o l o g í a   c o n   l o s   f u e r t e s   v i e n t o s   d e estos días se vivirá n  s e n s a c i o n e s  t érmicas de hasta 10º  b a j o  c e r o .  S i  b i e n en el invierno, se habí a n  r e g s i t r a d o  t e m p e r a t u r a s  b a j o  c e r o ,  n u n c a  h a b ían llegado  a c o m p a ñada s  de vientos tan fuertes."
4,eventos meteorológicos,viento,"e estima que en la madrugada, la velocidad de los vientos se incrementará pudiendo alcanzar cifras superiores a los 100 km/h."
5,eventos meteorológicos,viento,"Era de  p r e v e r s e  t a l  desastre. Es que los vientos alcanzaron velocidades superiores a los 100 km / h .  V o l a d u r a s  d e  t e c h o s ,  c a ídas de á r b o l e s ,  d e cables de  a l t a  t e n s i ón y de  a n t e n a s  f u e r o n ,  e n t r e  o t r o s ,  l o s  r e s u l t a d o s  d e do s   dí a s   de   u n   t e m i b l e   t e m p o r a l .   Y   p a r a   q u i e n   c r e í a   q u e   l a   t o r m e n t a   p a s ó , que no esté  t a n  s e g u r o . . ."
6,eventos meteorológicos,viento,"l principal riesgo lo signi?can los fuertes vientos, que se calcula superará n los 80 km/h en esta noche. Los dañ o s  c a u s a d o s  f u e r o n  p r i n c i p a l m e n t e importantes en Paysandú ,  d o n d e  y a  s e  r e g i s t r a n  2 7  c a s o s  d e  e v a c u a c i ón debido a que el sistema de desagü e  d e  l a s  c a s a s  n o  s o p o r t ó las aguas caí d a s .  E l mismo problema se registra en Salto, y fue el personal policial quien tu v o  q u e encargarse de los problemas."
7,eventos meteorológicos,viento,Persistirá n  vientos del Oeste al Sudoeste arrachados entr e  5 0  y  7 0  k m / h .  e n  z o n a s
8,eventos meteorológicos,viento,Ese fuerte viento
9,eventos meteorológicos,viento,"El resto de  l a  s e m a n a  s e r á con viento, lluvias y bajas temperaturas. Para m a ñ a n a   h a y   a dv e r t e n c i a   m e t e o r o l ó g i c a ."
10,eventos meteorológicos,viento,FRÍO Y VIENTO
11,eventos meteorológicos,viento,TORMENTA Y VIENTOS
12,eventos meteorológicos,viento,TURBONADA EN CERRO LARGO
13,eventos meteorológicos,viento,TURBONADA EN CERRO LARGO
14,eventos meteorológicos,viento,FUERTES VIENTOS Y MUCHO FRÍO
15,eventos meteorológicos,viento,?DESTROZOS POR TEMPORAL Y ALERTA
16,eventos meteorológicos,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
17,eventos meteorológicos,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 500 evacuados en todo el país
18,eventos meteorológicos,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 preocupación por el asalto y asesinato de tres marinos en el
19,eventos meteorológicos,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
20,eventos meteorológicos,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
21,eventos meteorológicos,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5 ¿Qué dijo el ministro de Salud Pública ante las aglomeraciones en 18 de Julio?
22,eventos meteorológicos,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país
23,eventos meteorológicos,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país
24,eventos meteorológicos,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
25,eventos meteorológicos,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
26,eventos meteorológicos,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 5
27,eventos meteorológicos,viento,LLUVIAS Y VIENTOS
28,eventos meteorológicos,viento,Inumet emitió una alerta amarilla por vientos fuertes y persistentes en el sur del país 4
29,eventos meteorológicos,viento,Turbonada del domingo
30,eventos meteorológicos,viento,Turbonada del domingo
31,eventos meteorológicos,viento,?Cayó una columna en el Centro por el viento
32,eventos meteorológicos,viento,?El viento dejó 40 árboles caídos en Montevideo
33,eventos meteorológicos,viento,?El viento dejó 40 árboles caídos en Montevideo
34,eventos meteorológicos,viento,por vientos fuertes
35,eventos meteorológicos,viento,Pou participó del acto por el 209 aniversario del Ejército 4 nohaydosintres
36,eventos meteorológicos,viento,"?Meteorología: ""vientos muy fuertes"""
37,eventos meteorológicos,viento,Pou participó del acto por el 209 aniversario del Ejército
38,eventos meteorológicos,viento,?Se inicia reconstrucción tras turbonada
39,eventos meteorológicos,viento,?Turbonada en Cerro Largo y Treinta y Tres
40,eventos meteorológicos,viento,Pou participó del acto por el 209 aniversario del Ejército
41,eventos meteorológicos,viento,?Destrozos en Artigas por temporal
42,eventos meteorológicos,viento,Pou participó del acto por el 209 aniversario del Ejército
